evidence_block,evidence_tier,source_csv,n_episodes,protocol,node_count,beamwidth_deg,area_scale,mobility_model,range_mode,communication_range_to_diagonal_ratio,sensing_to_comm_range_ratio,false_alarm_rate,miss_detection_rate,angular_cell_offset_std,slot_duration_ms,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,collision_count_mean,collision_count_std,collision_count_ci95,mean_discovery_delay_mean,mean_discovery_delay_std,mean_discovery_delay_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,discovery_per_scan_action_mean,discovery_per_scan_action_std,discovery_per_scan_action_ci95
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,skyorbs_like_skip_scan,100,5.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,6.73401e-05,9.52332e-05,0.000107767,0.966028,0.000737907,0.00083502,0,0,0,0,0,0,599.983,0.0244749,0.027696,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,uniform_random,100,10.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.00047138,9.52332e-05,0.000107767,0.901506,0.00149257,0.001689,0,0,0,0,0,0,599.902,0.045459,0.0514417,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,uniform_random,100,15.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0023569,0.000530236,0.000600019,0.834303,0.00152936,0.00173064,-2.74765e-16,3.13366e-16,3.54608e-16,0,0,0,599.251,0.191766,0.217004,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,uniform_random,100,30.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0374411,0.00252503,0.00285734,0.664067,0.00184628,0.00208926,0.12721,0.179903,0.203579,12.6667,4.98888,5.64545,588.618,0.714168,0.808157,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,uniform_random,100,5.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0,0,0,0.966395,0.000220424,0.000249433,0,0,0,0,0,0,600,0,0,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.361481,0.0108168,0.0122404,0.5021,0.0110803,0.0125385,11.0417,0.541467,0.612728,1019.67,133.182,150.71,479.001,6.29403,7.12236,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,15.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.535219,0.00858421,0.00971395,0.331517,0.00680669,0.00770249,23.2957,2.38072,2.69404,8141.67,322.97,365.475,410.824,3.45985,3.91519,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,30.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.448687,0.013841,0.0156625,0.181557,0.00360494,0.00407938,25.055,2.13045,2.41083,82978,2408.53,2725.51,442.394,9.212,10.4244,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,5.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0822222,0.00580142,0.00656492,0.815193,0.00455145,0.00515045,1.08002,0.767324,0.868309,24.6667,0.942809,1.06689,576.212,1.67392,1.89422,,,,,,
main_n100_fixed_transfer,main,06_analysis/paper_tables/round3_robustness/n100_fixed_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,fixed,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.000740741,9.52332e-05,0.000107767,0.9018,0.001414,0.00160009,0,0,0,0,0,0,599.786,0.08236,0.0931991,,,,,,
