beamwidth_deg,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,delta_ci95,positive_pairs,negative_pairs,zero_pairs
10.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_count,10,806.1,648.3,157.8,100.28492741517375,62.15724198085584,9,1,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_penalized_discovery_rate,10,0.31470291628223757,0.26094583194132626,0.05375708434091138,0.007997719724561293,0.004957038041784563,10,0,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,discoveries_per_joule,10,6.541668603615785,5.001528439424999,1.540140164190786,0.21022117914303295,0.13029643674566052,10,0,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,discovery_rate,10,0.36597979797979796,0.29517171717171714,0.07080808080808079,0.011806713093770394,0.007317876591063731,10,0,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,energy_j,10,276.9319,292.13542500000005,-15.203525000000013,0.33368484486780453,0.20682000957059307,0,10,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10,0.15301332699759587,0.20017203048402848,-0.047158703486432585,0.006951393239548217,0.00430851816749989,0,10,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,lambda2,10,12.932241686790974,8.960513355861888,3.9717283309290847,4.107360814577968,2.5457686078534167,9,1,0
10.0,collision_aware_isac,improved_rl_isac,collision_count,10,806.1,1092.7,-286.6,116.75824976800949,72.3675129568203,0,10,0
10.0,collision_aware_isac,improved_rl_isac,collision_penalized_discovery_rate,10,0.31470291628223757,0.2991140386834694,0.01558887759876823,0.007517100113909566,0.004659146920855218,10,0,0
10.0,collision_aware_isac,improved_rl_isac,discoveries_per_joule,10,6.541668603615785,6.193163019788815,0.34850558382696945,0.18420740313369605,0.11417293133039427,10,0,0
10.0,collision_aware_isac,improved_rl_isac,discovery_rate,10,0.36597979797979796,0.3651717171717171,0.0008080808080808078,0.010517130238574875,0.0065185848564952254,5,5,0
10.0,collision_aware_isac,improved_rl_isac,energy_j,10,276.9319,291.872225,-14.940325000000007,0.49650889622220135,0.30773940215727213,0,10,0
10.0,collision_aware_isac,improved_rl_isac,energy_per_discovery_censored_j,10,0.15301332699759587,0.16156248995201922,-0.008549162954423309,0.004368655448895479,0.0027077207000789465,0,10,0
10.0,collision_aware_isac,improved_rl_isac,lambda2,10,12.932241686790974,13.25954288530647,-0.32730119851549555,2.868826027245368,1.7781167935460553,4,6,0
10.0,collision_aware_isac,improved_rl_no_isac,collision_count,10,806.1,0.0,806.1,89.34011168313792,55.373574909176874,10,0,0
