protocol,beamwidth_deg,n_episodes,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_count_mean,collision_count_std,discoveries_per_joule_mean,discoveries_per_joule_std,energy_per_discovery_censored_j_mean,energy_per_discovery_censored_j_std,energy_j_mean,energy_j_std,lambda2_mean,lambda2_std,empty_scan_ratio_mean,empty_scan_ratio_std,discovery_rate_ci95,collision_penalized_discovery_rate_ci95,collision_count_ci95,discoveries_per_joule_ci95,energy_per_discovery_censored_j_ci95,energy_j_ci95,lambda2_ci95,empty_scan_ratio_ci95
ablation_isac_one_slot_delay,10.0,10,0.2951717171717171,0.0099074175627649,0.2609458319413262,0.0068405118691907,648.3,57.08598777283266,5.001528439424999,0.1701472506768166,0.2001720304840285,0.0068610151191302,292.13542500000005,0.2851861464464904,8.960513355861888,2.0078918315637884,0.4962136250819623,0.0055334617689115,0.006140681024823494,0.0042397931821394445,35.3822617931641,0.10545835855185579,0.004252501228111373,0.17676020485985988,1.2445042506657926,0.0034296751369040294
collision_aware_isac,10.0,10,0.3659797979797979,0.0113063471722276,0.3147029162822377,0.0076362612243016,806.1,84.75547179976051,6.541668603615785,0.2015129273927496,0.1530133269975959,0.0047784398143188,276.9319,0.260049375119412,12.932241686790974,3.246838207995125,0.4975020597840004,0.0056061446160867,0.00700774657984528,0.0047330037422565205,52.53198566968509,0.12489900639172803,0.0029617076811547776,0.1611802725782492,2.012411170539527,0.0034747244323083447
improved_rl_isac,10.0,10,0.3651717171717171,0.008732882596546,0.2991140386834694,0.005024099933847,1092.7,69.03339771443963,6.193163019788815,0.1497469692811838,0.1615624899520192,0.0038935865661919,291.872225,0.3178186678359197,13.259542885306468,1.9741481197922264,0.5001253618764493,0.0066108668955346,0.005412696710610405,0.003113969400718529,42.787343193986686,0.09281413314461838,0.0024132699559752694,0.1969860511632727,1.2235896814281437,0.004097457752826768
improved_rl_no_isac,10.0,10,0.0005858585858585,0.0002109152830082,0.0005858585858585,0.0002109152830082,0.0,0.0,0.0120769751615548,0.0043446731072385,92.84052958333334,28.61821974467383,240.112675,0.264843256710464,0.0,0.0,0.9019233767510616,0.0016238827918935,0.00013072664677840474,0.00013072664677840474,0.0,0.0026928562907199104,17.737756366584847,0.16415155117178093,0.0,0.0010064929820051878
uniform_random,10.0,10,0.0004848484848484,9.896928253669404e-05,0.0004848484848484,9.896928253669404e-05,0.0,0.0,0.0093017230394318,0.0018965054486618,111.79735,21.042968621562306,258.005,0.3134820569027793,0.0,0.0,0.9022310743317192,0.0011601092852488,6.13417968369013e-05,6.13417968369013e-05,0.0,0.0011754662552874004,13.042567076815772,0.19429819185982913,0.0,0.0007190431845148523
ablation_isac_one_slot_delay,15.0,10,0.5107474747474747,0.0100588209847935,0.2209134441362543,0.0043246594680688,6498.6,316.8839535224212,8.670301284102077,0.1746096294623138,0.1153832114530976,0.002332407687298,291.59575,0.2046010752659864,23.91217659901896,3.8380811647329183,0.3304861597860601,0.0056502595876345,0.006234521838017694,0.0026804517086470876,196.40670922959836,0.10822416957779485,0.0014456412618937022,0.12681306027377134,2.378867351728996,0.00350206717495324
collision_aware_isac,15.0,10,0.5646868686868687,0.0097506092202123,0.2479374234380502,0.0053008689498153,6329.2,317.162986491173,10.156378847952954,0.1791453858986016,0.098490328815835,0.0017033291410434,275.21805,0.2378780097024655,27.76523030880932,2.9572591001400697,0.3302392027638146,0.0047947064014444,0.006043490207181398,0.003285512614058303,196.57965565541107,0.11103546054288067,0.0010557343393645263,0.147438317921775,1.8329281799897068,0.0029717898163093737
improved_rl_isac,15.0,10,0.5421010101010101,0.0054412107861114,0.2017342555132317,0.0060701987905644,8360.9,321.8398514789615,9.2044696025448,0.092753009314593,0.1086538765423666,0.0010922311612442,291.53247500000003,0.2120221229612388,27.045252709710127,3.6922193668752494,0.3308855342170637,0.0038031134164078,0.003372497385384712,0.0037623481895238515,199.4784066068305,0.057488910776709694,0.0006769718873846909,0.13141267328875253,2.288461272780885,0.0023571941167754335
improved_rl_no_isac,15.0,10,0.0035353535353535,0.0006835929016439,0.0035353535353535,0.0006835929016439,0.0,0.0,0.0730026275660355,0.0140960922410933,14.34842523133815,3.543719912005852,239.7136,0.2253052152081641,-3.4005091612201684e-16,3.2888631941577595e-16,0.8347704394626151,0.0023805225264797,0.0004236952700575643,0.0004236952700575643,0.0,0.008736848487577704,2.196420357079472,0.13964561915935242,2.0384585268220797e-16,0.0014754631481828115
uniform_random,15.0,10,0.0026868686868686,0.0007981715662682,0.0026868686868686,0.0007981715662682,0.0,0.0,0.051560352297959,0.0153530071456183,21.1827098992674,6.278456333698888,258.005,0.3134820569027793,-3.492015896290756e-16,3.326814796996421e-16,0.8348491892552599,0.0020776748632865,0.0004947118621463406,0.0004947118621463406,0.0,0.009515892416546871,3.8914275520621375,0.19429819185982913,2.0619811739636391e-16,0.0012877562218318007
