method,policy_variant,episodes,discovery_rate,neighbor_knowledge_recall,mean_delay_censored,empty_scan_ratio,aligned_handshake_opportunities,tx_fraction
idqn,greedy,10,0.2,0.32,261.88666666666666,0.5365333333333333,11.2,0.44843333333333335
idqn,learned_role_random_beam,10,0.3377777777777778,0.5777777777777777,241.82,0.5416000000000001,18.8,0.4505
idqn,matched_support,10,0.5622222222222223,0.9133333333333333,205.64222222222224,0.46616666666666673,29.9,0.4745333333333333
idqn,random_role_learned_beam,10,0.49111111111111116,0.8077777777777777,219.41555555555556,0.45203333333333334,26.6,0.4968
idqn,random_uniform,10,0.5355555555555556,0.8744444444444444,213.16444444444446,0.4573666666666667,28.7,0.49706666666666666
idqn_local_reward,greedy,10,0.18444444444444444,0.27444444444444444,266.3066666666667,0.4867666666666667,11.6,0.5761333333333334
idqn_local_reward,learned_role_random_beam,10,0.36444444444444446,0.6444444444444445,238.44666666666666,0.49870000000000003,18.8,0.5877
idqn_local_reward,matched_support,10,0.5244444444444445,0.8300000000000001,213.17555555555555,0.4480666666666667,30.6,0.5418666666666667
idqn_local_reward,random_role_learned_beam,10,0.5044444444444445,0.8255555555555556,221.0,0.4209333333333333,29.6,0.4968
idqn_local_reward,random_uniform,10,0.5355555555555556,0.8744444444444444,213.16444444444446,0.4573666666666667,28.7,0.49706666666666666
shared_idqn,greedy,10,0.02888888888888889,0.034444444444444444,292.6622222222222,0.5631333333333333,1.7,0.09256666666666667
shared_idqn,learned_role_random_beam,10,0.06,0.0811111111111111,284.46222222222224,0.6048,3.0,0.1105
shared_idqn,matched_support,10,0.5111111111111111,0.7877777777777778,215.94,0.44703333333333334,28.1,0.4014
shared_idqn,random_role_learned_beam,10,0.5311111111111111,0.861111111111111,210.41111111111113,0.4232666666666667,27.9,0.4968
shared_idqn,random_uniform,10,0.5355555555555556,0.8744444444444444,213.16444444444446,0.4573666666666667,28.7,0.49706666666666666
vdn,greedy,10,0.0,0.0,300.0,0.6943666666666667,0.0,0.0
vdn,learned_role_random_beam,10,0.0,0.0,300.0,0.7159,0.0,0.0
vdn,matched_support,10,0.48,0.8099999999999999,229.59777777777776,0.5047333333333334,25.9,0.29956666666666665
vdn,random_role_learned_beam,10,0.52,0.8111111111111111,214.7088888888889,0.4155333333333333,29.2,0.4968
vdn,random_uniform,10,0.5355555555555556,0.8744444444444444,213.16444444444446,0.4573666666666667,28.7,0.49706666666666666
qmix,greedy,10,0.3422222222222222,0.6077777777777778,235.86888888888888,0.46373333333333333,18.9,0.4402333333333333
qmix,learned_role_random_beam,10,0.3911111111111111,0.6922222222222223,244.55111111111108,0.4105666666666667,23.7,0.6651666666666667
qmix,matched_support,10,0.5177777777777778,0.8188888888888888,220.18,0.4076666666666666,29.7,0.6396
qmix,random_role_learned_beam,10,0.5266666666666666,0.8322222222222223,210.05777777777774,0.4570666666666667,28.8,0.4968
qmix,random_uniform,10,0.5355555555555556,0.8744444444444444,213.16444444444446,0.4573666666666667,28.7,0.49706666666666666
mappo_residual_v2_support,matched_support,10,0.5311111111111111,0.8588888888888888,218.5822222222222,0.471,30.3,0.4503
