action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
wang2025_isac_tables,3,81,0.31932773109243695,0.30158730158730157,2.1315789473684212,1,38,6.333333333333333,4.230683589401025,0.006333333333333333,0.8444444444444444,3224,0.5373333333333333,8.982,0.23636842105263156,wang2025_isac_tables,0,0,0.0,4.676595723913523,10,1.0,0,73.44444444444444,0.8994198367269433,-0.24176037647933402,rf_probe,Wang sensing-table RF=3,gauss_markov,7.875879075263455,10,200.0,200.0,200.0,994,wang2025_isac_tables_rf3,3,1006,6000,157.89473684210526,21213708,21213708,0,0.8447696737044146,0.008351240476655596,0.15523032629558542,20476,4168,200,45,994
wang2025_isac_tables,3,40,0.48717948717948717,0.4470588235294118,1.0526315789473684,1,38,6.333333333333333,4.21379463295631,0.006333333333333333,0.8444444444444444,3223,0.5371666666666667,9.018,0.23731578947368423,wang2025_isac_tables,1,0,0.0,5.771671784053363,10,1.0,0,77.37777777777778,0.9168410789812302,-0.0013671193638978582,rf_probe,Wang sensing-table RF=3,gauss_markov,5.716612343993562,10,200.0,200.0,200.0,1006,wang2025_isac_tables_rf3,3,994,6000,157.89473684210526,21213709,21213709,0,0.8573580034423408,0.007726640111340404,0.14264199655765922,20837,4648,200,45,1006
wang2025_isac_tables,3,32,0.5555555555555556,0.5194805194805194,0.8,1,40,6.666666666666667,4.484807713869269,0.006666666666666667,0.8888888888888888,3568,0.5946666666666667,8.918999999999999,0.22297499999999998,wang2025_isac_tables,2,0,0.0,5.785680256622464,10,1.0,0,79.6,0.8942698744368276,-0.41846805337624615,rf_probe,Wang sensing-table RF=3,gauss_markov,7.605857785499443,10,186.00000000000006,200.0,200.0,973,wang2025_isac_tables_rf3,3,1027,6000,150.0,21213710,21213710,0,0.828921568627451,0.008256083429895712,0.17107843137254902,20712,4080,200,45,973
wang2025_isac_tables,3,28,0.582089552238806,0.5342465753424658,0.717948717948718,1,39,6.5,4.33188937020993,0.0065,0.8666666666666667,3325,0.5541666666666667,9.003,0.23084615384615384,wang2025_isac_tables,3,0,0.0,6.5857864376269095,10,1.0,0,85.95555555555555,0.8815564388122945,-1.3051416437701757,rf_probe,Wang sensing-table RF=3,gauss_markov,6.923755250589208,10,200.0,200.0,200.0,1001,wang2025_isac_tables_rf3,3,999,6000,153.84615384615384,21213711,21213711,0,0.8259781619654231,0.007777991165738429,0.17402183803457688,20828,4396,200,45,1001
wang2025_isac_tables,3,45,0.4444444444444444,0.4,1.25,1,36,6.0,4.032258064516129,0.006,0.8,3579,0.5965,8.928,0.24800000000000003,wang2025_isac_tables,4,0,0.0,4.451595818907894,10,1.0,0,92.2,0.7468727237452938,-4.215664271807637,rf_probe,Wang sensing-table RF=3,gauss_markov,6.774233318598261,10,200.0,200.0,200.0,976,wang2025_isac_tables_rf3,3,1024,6000,166.66666666666666,21213712,21213712,0,0.7093583565812833,0.008955792682926829,0.29064164341871673,20992,3943,200,45,976
wang2025_isac_tables,3,40,0.4805194805194805,0.43529411764705883,1.0810810810810811,1,37,6.166666666666667,4.096092106719804,0.006166666666666667,0.8222222222222222,3492,0.582,9.033000000000001,0.24413513513513516,wang2025_isac_tables,5,0,0.0,4.835752061539789,10,1.0,0,89.53333333333333,0.7141717394146814,-5.765099763928645,rf_probe,Wang sensing-table RF=3,gauss_markov,7.54768255416028,10,200.0,200.0,200.0,1011,wang2025_isac_tables_rf3,3,989,6000,162.16216216216216,21213713,21213713,0,0.6644037112468885,0.008726899383983572,0.33559628875311154,21428,4419,200,45,1011
wang2025_isac_tables,3,47,0.4125,0.358695652173913,1.4242424242424243,1,33,5.5,3.641178417742469,0.0055,0.7333333333333333,3553,0.5921666666666666,9.063,0.2746363636363637,wang2025_isac_tables,6,0,0.0,2.9312921766700435,10,1.0,0,81.93333333333334,0.8531247775326696,-1.1257796074212465,rf_probe,Wang sensing-table RF=3,gauss_markov,7.388715994607833,10,200.0,200.0,200.0,1021,wang2025_isac_tables_rf3,3,979,6000,181.8181818181818,21213714,21213714,0,0.8020206879961511,0.008708072244747511,0.19797931200384894,21704,4157,200,45,1021
wang2025_isac_tables,3,64,0.35353535353535354,0.3211009174311927,1.8285714285714285,1,35,5.833333333333334,3.8811266356176533,0.005833333333333334,0.7777777777777778,3365,0.5608333333333333,9.018,0.25765714285714286,wang2025_isac_tables,7,0,0.0,3.724335670591779,10,1.0,0,97.37777777777778,0.9134440866037233,-0.2514594306898044,rf_probe,Wang sensing-table RF=3,gauss_markov,7.214681266182346,10,200.0,200.0,200.0,1006,wang2025_isac_tables_rf3,3,994,6000,171.42857142857142,21213715,21213715,0,0.8459578410933518,0.007669673435917225,0.15404215890664813,20731,4317,200,45,1006
wang2025_isac_tables,3,43,0.44871794871794873,0.3977272727272727,1.2285714285714286,1,35,5.833333333333334,3.8953811908736786,0.005833333333333334,0.7777777777777778,3384,0.564,8.985,0.2567142857142857,wang2025_isac_tables,8,0,0.0,4.902977734213978,10,1.0,0,84.6,0.907065691908119,1.149812577979964,rf_probe,Wang sensing-table RF=3,gauss_markov,7.189709856069352,10,200.0,200.0,200.0,995,wang2025_isac_tables_rf3,3,1005,6000,171.42857142857142,21213716,21213716,0,0.8461166223082507,0.00822447992259313,0.15388337769174934,20670,4133,200,45,995
wang2025_isac_tables,3,31,0.5441176470588235,0.4868421052631579,0.8378378378378378,1,37,6.166666666666667,4.1042706600110925,0.006166666666666667,0.8222222222222222,3360,0.56,9.015,0.24364864864864866,wang2025_isac_tables,9,0,0.0,5.186393497351669,10,1.0,0,98.53333333333333,0.9119974904401243,-0.5984317313217147,rf_probe,Wang sensing-table RF=3,gauss_markov,8.14088592047803,10,200.0,200.0,200.0,1005,wang2025_isac_tables_rf3,3,995,6000,162.16216216216216,21213717,21213717,0,0.8414367060884801,0.008420455083021902,0.15856329391151994,21139,4566,200,45,1005
