protocol,beamwidth_deg,n_episodes,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,lambda2_mean,lambda2_std,empty_scan_ratio_mean,empty_scan_ratio_std,collision_count_mean,collision_count_std
improved_rl_isac,10.0,3,0.1739393939393939,0.0066533894927577,0.1687980118688096,0.0060565765487722,3.7088103847592087,1.5264892740762956,0.674131505158449,0.0027249110288095,150.33333333333334,12.256517540566824
improved_rl_no_isac,10.0,3,0.0008080808080808,0.0,0.0008080808080808,0.0,0.0,0.0,0.9031886181918028,0.000484275892586,0.0,0.0
rl_no_isac,10.0,3,0.0004713804713804,9.523323652344074e-05,0.0004713804713804,9.523323652344074e-05,0.0,0.0,0.9028482534854666,0.0023409094436223,0.0,0.0
skyorbs_like_skip_scan,10.0,3,0.0006734006734006,9.523323652344074e-05,0.0006734006734006,9.523323652344074e-05,0.0,0.0,0.902827777777778,0.0009253961447355,0.0,0.0
uniform_random,10.0,3,0.0003367003367003,9.523323652344074e-05,0.0003367003367003,9.523323652344074e-05,0.0,0.0,0.9041411085558496,0.0004258720090247,0.0,0.0
improved_rl_isac,15.0,3,0.4181144781144781,0.0128409580618987,0.2936546540441183,0.0059698209271718,21.995707133018342,3.253500191949942,0.5176799653017802,0.0036980530409782,2096.6666666666665,93.08180392655818
improved_rl_no_isac,15.0,3,0.0045117845117845,0.0011227832996991,0.0045117845117845,0.0011227832996991,-3.2063529792118396e-16,4.534467868956762e-16,0.8375595972564338,0.0010042188924894,0.0,0.0
rl_no_isac,15.0,3,0.0024242424242424,0.0004364135150443,0.0024242424242424,0.0004364135150443,-3.353125122458521e-16,3.617024671212231e-16,0.8415519618695834,0.0010864823944014,0.0,0.0
skyorbs_like_skip_scan,15.0,3,0.004040404040404,0.0005947313714698,0.004040404040404,0.0005947313714698,-5.491875718450004e-16,4.1086812651057353e-16,0.8343333333333334,0.0017288938874534,0.0,0.0
uniform_random,15.0,3,0.0025589225589225,0.0001904664730468,0.0025589225589225,0.0001904664730468,-2.320782931543628e-16,2.5378383811385793e-16,0.8412173651431051,0.0017646595031929,0.0,0.0
