collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,completion_rate_mean,consumed_slots_censored_mean,consumed_slots_censored_std,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_std,discoveries_per_joule_mean,discoveries_per_joule_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,isolated_node_ratio_mean,isolated_node_ratio_std,lambda2_mean,lambda2_std,largest_component_size_mean,largest_component_size_std,lcc_ratio_mean,lcc_ratio_std,mean_delay_censored_mean,mean_delay_censored_std,mean_sensing_pd_mean,mean_sensing_pd_std,mean_sensing_snr_db_mean,mean_sensing_snr_db_std,method_label,n_episodes,node_count,p95_delay_censored_mean,p95_delay_censored_std,protocol,rf_chains,scan_actions_mean,scan_actions_std,sensing_detection_rate_mean,sensing_detection_rate_std,sensing_false_alarm_ratio_mean,sensing_false_alarm_ratio_std,sensing_miss_ratio_mean,sensing_miss_ratio_std
65.8,5.192301994298868,0.3741909183454899,0.015129152765760845,0.0,200.0,0.0,21.316667917365567,0.6367547646220728,4.840332733323605,0.15542453704985978,0.92,0.026666666666666707,0.6157436395088757,0.02083214090521134,0.0,0.0,7.2535898384862225,0.6654861912834719,10.0,0.0,1.0,0.0,74.28444444444445,7.633796201395765,0.8638944674832747,0.06020064407151877,-1.6892756087707737,1.6865099571203603,Ours: budgeted ISAC access,5,10,189.35999999999996,15.253275058163748,budgeted_collision_aware_isac,1,1942.2,5.74108003776293,0.8070994356734907,0.05687558956563244,0.007993871061319428,0.0006872528305576839,0.19290056432650923,0.05687558956563244
358.2,75.04505313476699,0.2803065212703245,0.04217666459888256,0.0,200.0,0.0,38.78282500369564,0.9327943670264508,8.92139229737851,0.23130064249582635,0.7926315789473685,0.01716790150557902,0.43821804240388773,0.016578687172244047,0.0,0.0,11.004237649623475,0.8023552795673101,20.0,0.0,1.0,0.0,93.45473684210526,5.950203888589826,0.8518703781461073,0.03543915142493262,-1.296279534451646,1.3984809804033371,Ours: budgeted ISAC access,5,20,200.0,0.0,budgeted_collision_aware_isac,1,3883.4,13.879481258317979,0.8235152706080476,0.033872376171099505,0.0071721458345925535,0.00034297964616286127,0.1764847293919523,0.033872376171099526
870.4,206.46413732171501,0.24076288904025275,0.03768959612849093,0.0,200.0,0.0,52.82146352951841,1.3763600456678846,12.155678174410477,0.32288557915634075,0.705287356321839,0.01765181960501376,0.3246408039574822,0.008926471914313639,0.0,0.0,13.458338965005376,2.0866817036917293,30.0,0.0,1.0,0.0,106.82712643678161,3.961469971961187,0.8729465827579068,0.027014647542488564,-1.2702492003554446,0.8798978795605679,Ours: budgeted ISAC access,5,30,200.0,0.0,budgeted_collision_aware_isac,1,5808.4,6.499230723708768,0.8571240730095431,0.022446159256366616,0.005771851046872518,0.0006690516835123377,0.14287592699045693,0.022446159256366623
1527.4,215.9070170235326,0.21415248760095756,0.021007529406176614,0.0,200.0,0.0,63.28002906340851,1.6205482166857241,14.563357750647567,0.38279244873542656,0.627948717948718,0.01612329222796154,0.2685706354403672,0.00589952403429255,0.0,0.0,15.889756950734933,2.523606042777824,40.0,0.0,1.0,0.0,117.90076923076923,3.256578493534228,0.9034377233357004,0.016616955242933034,-0.05709875074306573,0.6370027369108583,Ours: budgeted ISAC access,5,40,200.0,0.0,budgeted_collision_aware_isac,1,7740.2,10.906878563548785,0.8979993840553454,0.011106180477535258,0.004875269705937982,0.00021371639277000453,0.10200061594465457,0.011106180477535262
2582.2,155.6912328938274,0.19613763455553979,0.0038865619975493493,0.0,200.0,0.0,77.19293460658398,2.0268240213175024,17.792693928255986,0.4628360565556426,0.6091428571428571,0.015301713650755893,0.2551333475295267,0.015241036105296398,0.0,0.0,20.363232182361816,0.9424737897538439,50.0,0.0,1.0,0.0,124.39183673469388,2.1173874970297923,0.9177291668552435,0.012327081341641738,1.1657656532732241,0.4014185580407273,Ours: budgeted ISAC access,5,50,200.0,0.0,budgeted_collision_aware_isac,1,9667.0,19.524343778985248,0.9196091704547069,0.006524717685380455,0.004595485169177172,0.00042751938481175853,0.08039082954529306,0.00652471768538046
280.4,25.231726060656253,0.13039490656370847,0.00959013594696144,0.0,200.0,0.0,21.834299118806864,0.6246130899813801,4.310958608488453,0.1212394428995781,0.9377777777777778,0.025915341754868006,0.6145368725796413,0.010155876867034867,0.0,0.0,7.317157287525382,0.5776900812895311,10.0,0.0,1.0,0.0,74.86222222222223,7.828159362988573,0.8667891602994613,0.0620874111278832,-1.5828414877806274,1.90989249922381,"Ours: ISAC rule, no table exchange",5,10,182.59999999999997,21.512043138670048,improved_rl_isac,1,1932.8,6.734983296193095,0.8102157452919875,0.05930075663322414,0.008259768033886089,0.0005603027229587194,0.18978425470801258,0.05930075663322416
1492.2,278.09020119378533,0.0905888925437069,0.01743887229490838,0.0,200.0,0.0,38.29613530900249,0.894876364382392,7.583091603853716,0.17728135801533682,0.7768421052631579,0.01811015845693182,0.4370460957206391,0.011011446219186512,0.0,0.0,10.89809051521545,1.2282944512573672,20.0,0.0,1.0,0.0,94.65368421052632,3.7242953190192494,0.8499340109168713,0.036853725980447186,-1.4424793064267525,1.3917018858674828,"Ours: ISAC rule, no table exchange",5,20,200.0,0.0,improved_rl_isac,1,3854.2,11.05260150371848,0.8234678316694645,0.035496750901069074,0.006661407877641239,0.0006717676072907024,0.1765321683305356,0.03549675090106906
2999.0,495.656736058333,0.0852851895792161,0.016831573479758808,0.0,200.0,0.0,49.3490052209666,1.8489729705310407,9.756803813497529,0.38344058830567634,0.654712643678161,0.0249888335479562,0.3273840378598647,0.017583060560995768,0.0,0.0,12.912881001833318,0.8444616327000762,30.0,0.0,1.0,0.0,117.50896551724138,4.031619929365287,0.8725702095260285,0.028356162762086887,-1.2046530184986277,0.8556787364873285,"Ours: ISAC rule, no table exchange",5,30,200.0,0.0,improved_rl_isac,1,5771.0,8.07465169527454,0.8601156941814168,0.023962205046852782,0.005585197922989396,0.0004926336410967125,0.1398843058185832,0.023962205046852755
5255.6,454.08924233018337,0.0709739246541241,0.006280137037760966,0.0,200.0,0.0,55.247412809624976,1.2227060011487305,10.91843487541267,0.24400719596783885,0.5456410256410257,0.01249852062251687,0.27073716127484854,0.0037473586353001208,0.0,0.0,13.502306828141736,1.0708757710194239,40.0,0.0,1.0,0.0,134.2874358974359,2.1663304852222205,0.9036811454073894,0.016052518894723204,-0.04220809878264217,0.6309626339496182,"Ours: ISAC rule, no table exchange",5,40,200.0,0.0,improved_rl_isac,1,7703.4,10.744300814850634,0.8989979035216068,0.010202037136415364,0.004933159941668746,0.00023205473400330178,0.10100209647839323,0.010202037136415385
8147.2,379.43558083026426,0.05865003669848461,0.0034527938925326307,0.0,200.0,0.0,56.936604691842945,1.113006979417179,11.236494511394161,0.22192795135194193,0.4476734693877551,0.008679205786123773,0.24582972376866413,0.020435914010769343,0.0,0.0,12.751313531367453,0.5417816882630568,50.0,0.0,1.0,0.0,148.6537142857143,1.168504680637347,0.9174062378362617,0.011800859144965184,1.190652144503292,0.38028761738481126,"Ours: ISAC rule, no table exchange",5,50,200.0,0.0,improved_rl_isac,1,9631.8,7.547184905645283,0.918348872584322,0.0071155865444557315,0.004585118960386397,0.00041878995753709365,0.08165112741567804,0.007115586544455723
0.0,0.0,0.008888888888888889,0.017777777777777778,0.0,200.0,0.0,0.2,0.4,0.04960317460317461,0.09920634920634921,0.008888888888888889,0.017777777777777778,0.9241,0.001714642819948212,0.94,0.12000000000000002,0.0,0.0,1.4,0.8,0.14,0.07999999999999999,198.8088888888889,2.3822222222222194,0.0,0.0,0.0,0.0,Uniform Random,5,10,200.0,0.0,uniform_random,1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00631578947368421,0.003938586722919938,0.0,200.0,0.0,0.3,0.18708286933869708,0.07507073290784048,0.04673534522673728,0.00631578947368421,0.003938586722919938,0.86725,0.007298972530431929,0.88,0.0748331477354788,0.0,0.0,1.8,0.4,0.09000000000000001,0.02,199.4463157894737,0.3957306787236766,0.0,0.0,0.0,0.0,Uniform Random,5,20,200.0,0.0,uniform_random,1,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.008735632183908045,0.0036781609195402297,0.0,200.0,0.0,0.6333333333333333,0.26666666666666666,0.15831158313857346,0.06659430016947121,0.008735632183908045,0.0036781609195402297,0.8134666666666667,0.004356859215331881,0.7866666666666666,0.0686375342732467,-3.959064690059554e-17,7.918129380119108e-17,2.8,0.7483314773547883,0.09333333333333334,0.024944382578492942,199.11954022988505,0.3426536839142644,0.0,0.0,0.0,0.0,Uniform Random,5,30,200.0,0.0,uniform_random,1,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.011538461538461537,0.0036261886214694738,0.0,200.0,0.0,1.125,0.3535533905932738,0.2811590112109649,0.0885133595445034,0.011538461538461537,0.0036261886214694738,0.775375,0.008953700352368288,0.635,0.0717635004720366,-1.8107374850787765e-16,2.269169239444997e-16,4.0,1.5491933384829668,0.09999999999999999,0.03872983346207417,198.73461538461538,0.5694692270228195,0.0,0.0,0.0,0.0,Uniform Random,5,40,200.0,0.0,uniform_random,1,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.6,0.010443134454758307,0.001206944264705545,0.0,200.0,0.0,1.28,0.1469693845669906,0.31987574561232796,0.03690829672786067,0.010448979591836735,0.001199750078097883,0.75642,0.005501054444377005,0.592,0.05455272678794342,-3.8300451883028e-16,2.60326839811783e-16,4.8,0.7483314773547883,0.096,0.014966629547095763,198.9389387755102,0.1755572030095325,0.0,0.0,0.0,0.0,Uniform Random,5,50,200.0,0.0,uniform_random,1,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.6,50.396825296837896,0.16781157560865936,0.029331784299260925,0.2,192.0,16.0,21.4,0.8,4.737661359136935,0.16072941008453043,0.9511111111111111,0.03555555555555556,0.8332,0.008096912991998884,0.0,0.0,7.483139990200174,1.4403856435542195,10.0,0.0,1.0,0.0,71.10222222222222,15.547277797530352,0.8685433635817503,0.05370220542238453,-1.5136872450300376,1.6360598316361756,Wang-like + neighbor table,5,10,166.27999999999997,28.256992055064895,wang2025_comm_tables,1,2000.0,0.0,0.8040427180019512,0.046083491628672826,0.008947675224584811,0.0006083240720981036,0.19595728199804885,0.04608349162867283
1029.6,132.19016604876475,0.12752696193846386,0.017718568548503438,0.0,200.0,0.0,38.3,0.5787918451395113,8.486938318497101,0.15000568094914757,0.8063157894736842,0.012185091476621276,0.7509,0.010476879306358372,0.0,0.0,11.17370138344614,0.4041117162912643,20.0,0.0,1.0,0.0,93.70947368421052,4.36806517256789,0.8579818052642293,0.030843372632315805,-0.7885422119234743,1.290460858403437,Wang-like + neighbor table,5,20,200.0,0.0,wang2025_comm_tables,1,4000.0,0.0,0.8213118869860601,0.03039636550090487,0.008566919800689524,0.0004942474885709392,0.17868811301394,0.030396365500904896
2355.2,391.8067891193311,0.11115502675666698,0.01932321383555306,0.0,200.0,0.0,50.43333333333333,1.3106402167558335,11.185484940094437,0.27750804076999924,0.6956321839080459,0.0180777960931839,0.6944,0.015255454397981356,0.0,0.0,13.565142412171506,2.0215489047031983,30.0,0.0,1.0,0.0,111.72413793103448,1.7824445946479854,0.8840320044589309,0.024197770288626404,-0.3803008307301734,0.7694089031666478,Wang-like + neighbor table,5,30,200.0,0.0,wang2025_comm_tables,1,6000.0,0.0,0.8565307317850602,0.015948068169239934,0.0077757198786621105,0.00034452325307915145,0.1434692682149398,0.01594806816923996
4299.0,379.9478911640384,0.09441323166974774,0.007761244700699636,0.0,200.0,0.0,59.575,0.6919176251549024,13.221280715674354,0.15135036827058848,0.611025641025641,0.007096591027229796,0.634925,0.006070728951287492,0.0,0.0,16.052486006918922,1.372029446082766,40.0,0.0,1.0,0.0,127.1876923076923,1.5007941356079892,0.9117676890596149,0.014419304994316578,0.8814157694791923,0.5267636686967881,Wang-like + neighbor table,5,40,200.0,0.0,wang2025_comm_tables,1,8000.0,0.0,0.8930499529237141,0.008947026987958732,0.006948460788185974,9.29667302155093e-05,0.10695004707628587,0.008947026987958722
6999.4,492.15956762009614,0.08068380258699775,0.0067507819777315094,0.0,200.0,0.0,66.03999999999999,2.3601694854395534,14.690993713901294,0.5810408843702992,0.5391020408163265,0.019266689677057584,0.6178400000000001,0.016532948920262223,0.0,0.0,17.690346778228008,0.8208212713440465,50.0,0.0,1.0,0.0,137.9882448979592,1.9251448907754825,0.9250109864357413,0.010757275662447024,2.264261544279328,0.21907358621173878,Wang-like + neighbor table,5,50,200.0,0.0,wang2025_comm_tables,1,10000.0,0.0,0.9115738776583959,0.007661994869694926,0.006624585060820231,0.0003661944321154844,0.08842612234160403,0.007661994869694949
98.8,26.095210288480146,0.26384439373350665,0.032309839818280145,0.0,200.0,0.0,18.6,1.5620499351813308,4.125921689922913,0.3430610833367999,0.8266666666666667,0.06942444156361473,0.8148,0.012812493902437579,0.0,0.0,4.977189597592839,1.0694602549933756,10.0,0.0,1.0,0.0,98.19555555555556,13.574103157969954,0.8729068233769253,0.04691152994498779,-0.9806114699657943,1.4248938850531379,"Wang-like ISAC, no table exchange",5,10,199.39999999999998,1.2000000000000228,wang2025_isac_no_collab,1,2000.0,0.0,0.8205620503168727,0.035236784810941835,0.008817421779269849,0.001049012798515089,0.17943794968312726,0.035236784810941855
614.0,157.0948757916693,0.1807816522430881,0.045584134043711505,0.0,200.0,0.0,34.65,1.8947295321496416,7.713923781185297,0.43072785383771406,0.7294736842105263,0.03988904278209773,0.7304,0.011962023240238252,0.0,0.0,8.726427657889598,1.1676021572566726,20.0,0.0,1.0,0.0,109.40526315789474,7.311461044406797,0.8605333602458235,0.030749684151931512,-0.6381691279011779,1.2587860114414917,"Wang-like ISAC, no table exchange",5,20,200.0,0.0,wang2025_isac_no_collab,1,4000.0,0.0,0.8280021617170432,0.02711684821712948,0.008155764490705283,0.0006645611306976002,0.17199783828295684,0.0271168482171295
1277.6,222.35880913514535,0.16499525531310766,0.026165917223240225,0.0,200.0,0.0,46.13333333333333,1.018713785995743,10.267186216471055,0.19208614406861482,0.6363218390804598,0.014051224634424028,0.6724666666666667,0.020463354780897683,0.006666666666666666,0.013333333333333332,9.15800414080877,4.610301970509055,29.8,0.4,0.9933333333333333,0.01333333333333333,126.3848275862069,2.7985227592488067,0.8809632619040201,0.024941426073842206,-0.5540760440134171,0.7566433343535829,"Wang-like ISAC, no table exchange",5,30,200.0,0.0,wang2025_isac_no_collab,1,6000.0,0.0,0.854596994423766,0.023631207564819238,0.0076364062642099665,0.00046870229036852825,0.14540300557623403,0.02363120756481922
2602.0,214.32125419565836,0.1313680498691264,0.008360090031296456,0.0,200.0,0.0,55.325,1.3195643220396647,12.280157791725514,0.30148316497598104,0.5674358974358975,0.013533993046560666,0.6081,0.007731591039365675,0.0,0.0,12.641689490207,1.5281763839913123,40.0,0.0,1.0,0.0,134.88076923076923,2.665787823623366,0.911143508912123,0.014699960342091326,0.7597409625837459,0.5841826176528866,"Wang-like ISAC, no table exchange",5,40,200.0,0.0,wang2025_isac_no_collab,1,8000.0,0.0,0.8904913336157556,0.01023023858253408,0.00693046501633828,0.00018082925384008952,0.10950866638424439,0.010230238582534081
4522.4,335.0824376179689,0.11148778549720322,0.007989701703647458,0.0,200.0,0.0,63.839999999999996,2.3576259245266207,14.138685828549452,0.5004695385298861,0.5211428571428571,0.019245925914503026,0.58796,0.01763117693178761,0.0,0.0,16.062845243485036,1.368520846974762,50.0,0.0,1.0,0.0,142.72897959183675,2.5119468580981654,0.9240491518557653,0.012127550697993567,2.104333550887117,0.28979613140101984,"Wang-like ISAC, no table exchange",5,50,200.0,0.0,wang2025_isac_no_collab,1,10000.0,0.0,0.9116822897660384,0.005819079847573824,0.006245386524564357,0.0004677095908113048,0.08831771023396165,0.005819079847573854
218.0,48.09989604978372,0.1691544184885529,0.03171732297301748,0.2,197.2,5.6,21.5,0.5477225575051661,4.8136713199498695,0.12028267196003618,0.9555555555555556,0.024343224778007377,0.8291999999999999,0.006874590896918876,0.0,0.0,8.0,1.2649110640673464,10.0,0.0,1.0,0.0,64.48,3.0894675716930924,0.8741499440579988,0.054435268831262366,-1.034923145745917,1.5448952504735796,Wang-like + sensing table,5,10,182.95999999999995,13.395760523389486,wang2025_isac_tables,1,2000.0,0.0,0.8106409164594134,0.052579120651083965,0.008622015829057543,0.0011856890841928822,0.18935908354058661,0.052579120651083965
