collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
6523,-3801.0,2722,0.08789364997418689,0.10643115367415362,0.1943248036483405,wang2025_comm_tables,0.5559183673469388,0.07020408163265301,0.6261224489795918,1,18.419673965245288,3.671419077010757,22.091093042256045,50,1,budgeted_collision_aware_isac
6844,-4122.0,2722,0.07931590035940017,0.11500890328894034,0.1943248036483405,wang2025_isac_tables,0.5224489795918368,0.10367346938775501,0.6261224489795918,1,14.029822922757635,8.06127011949841,22.091093042256045,50,1,budgeted_collision_aware_isac
8337,-5615.0,2722,0.056682702363522276,0.13764210128481824,0.1943248036483405,improved_rl_isac,0.4424489795918367,0.18367346938775508,0.6261224489795918,1,13.404998319723571,8.686094722532474,22.091093042256045,50,1,budgeted_collision_aware_isac
0,2722.0,2722,0.008979591836734694,0.18534521181160582,0.1943248036483405,uniform_random,0.008979591836734694,0.6171428571428571,0.6261224489795918,1,-4.459686857742762e-16,22.091093042256045,22.091093042256045,50,1,budgeted_collision_aware_isac
5087,-2518.0,2569,0.09695817490494296,0.09940450300755044,0.1963626779124934,wang2025_isac_no_collab,0.4995918367346939,0.10857142857142854,0.6081632653061224,2,14.24365997059562,5.032101308911942,19.275761279507563,50,1,budgeted_collision_aware_isac
7080,-4511.0,2569,0.08248043347381095,0.11388224443868245,0.1963626779124934,wang2025_comm_tables,0.5591836734693878,0.048979591836734615,0.6081632653061224,2,18.81486461864959,0.46089666085797276,19.275761279507563,50,1,budgeted_collision_aware_isac
8243,-5674.0,2569,0.06516687790452048,0.13119580000797293,0.1963626779124934,wang2025_isac_tables,0.5036734693877551,0.10448979591836727,0.6081632653061224,2,17.14632193444631,2.129439345061254,19.275761279507563,50,1,budgeted_collision_aware_isac
7883,-5314.0,2569,0.06060606060606061,0.1357566173064328,0.1963626779124934,improved_rl_isac,0.4506122448979592,0.1575510204081632,0.6081632653061224,2,13.212964109813608,6.062797169693955,19.275761279507563,50,1,budgeted_collision_aware_isac
0,2569.0,2569,0.011428571428571429,0.18493410648392197,0.1963626779124934,uniform_random,0.011428571428571429,0.596734693877551,0.6081632653061224,2,-6.552781153001247e-16,19.275761279507563,19.275761279507563,50,1,budgeted_collision_aware_isac
4462,-2105.0,2357,0.10902057323720767,0.09003023636636577,0.19905080960357344,wang2025_isac_no_collab,0.5061224489795918,0.0759183673469388,0.5820408163265306,3,16.18365998895005,4.241506435879746,20.425166424829797,50,1,budgeted_collision_aware_isac
6824,-4467.0,2357,0.07976146105106224,0.11928934855251119,0.19905080960357344,wang2025_comm_tables,0.5240816326530612,0.05795918367346942,0.5820408163265306,3,16.957151174919222,3.468015249910575,20.425166424829797,50,1,budgeted_collision_aware_isac
6868,-4511.0,2357,0.07636228839738045,0.12268852120619299,0.19905080960357344,wang2025_isac_tables,0.5044897959183674,0.0775510204081632,0.5820408163265306,3,11.547037030975066,8.878129393854731,20.425166424829797,50,1,budgeted_collision_aware_isac
7565,-5208.0,2357,0.06450511945392491,0.1345456901496485,0.19905080960357344,improved_rl_isac,0.46285714285714286,0.11918367346938774,0.5820408163265306,3,12.41684274119873,8.008323683631067,20.425166424829797,50,1,budgeted_collision_aware_isac
4,2353.0,2357,0.008950366151342554,0.19010044345223087,0.19905080960357344,uniform_random,0.008979591836734694,0.5730612244897959,0.5820408163265306,3,-1.692751579569452e-16,20.425166424829797,20.425166424829797,50,1,budgeted_collision_aware_isac
4675,-2195.0,2480,0.1152542372881356,0.08582538484411813,0.20107962213225372,wang2025_isac_no_collab,0.5551020408163265,0.05306122448979589,0.6081632653061224,4,18.226315270409255,1.6791653775475197,19.905480647956775,50,1,budgeted_collision_aware_isac
6659,-4179.0,2480,0.08498224251648909,0.11609737961576463,0.20107962213225372,wang2025_comm_tables,0.5469387755102041,0.061224489795918324,0.6081632653061224,4,16.679036523327916,3.226444124628859,19.905480647956775,50,1,budgeted_collision_aware_isac
7145,-4665.0,2480,0.07789725209080048,0.12318237004145324,0.20107962213225372,wang2025_isac_tables,0.5322448979591837,0.07591836734693869,0.6081632653061224,4,17.45115140839112,2.4543292395656557,19.905480647956775,50,1,budgeted_collision_aware_isac
8648,-6168.0,2480,0.05520105337789932,0.1458785687543544,0.20107962213225372,improved_rl_isac,0.4448979591836735,0.16326530612244894,0.6081632653061224,4,12.813907995340955,7.09157265261582,19.905480647956775,50,1,budgeted_collision_aware_isac
0,2480.0,2480,0.011428571428571429,0.1896510507036823,0.20107962213225372,uniform_random,0.011428571428571429,0.596734693877551,0.6081632653061224,4,-6.445006351200538e-16,19.905480647956775,19.905480647956775,50,1,budgeted_collision_aware_isac
