beamwidth_az_deg,beamwidth_el_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,episode,finite_time_discovery_rate,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mean_sensing_pd,mean_sensing_snr_db,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
24.0,25.714285714285715,0,211,0.16929133858267717,0.16796875,4.906976744186046,1,43,21.5,4.730473047304731,0.0215,0.9555555555555556,1663,0.8315,9.09,0.2113953488372093,0,0.9555555555555556,0,0.0,6.999999999999998,10,1.0,67.24444444444444,67.24444444444444,0.9001290593760317,-1.1566586523392224,Wang-like + neighbor table,gauss_markov,7.764229004183815,10,131.4,131.4,147.59999999999997,147.59999999999997,200.0,200.0,1030,wang2025_comm_tables,1,970,2000,46.51162790697674,20260708,20281317,0,0.8342674139311449,0.008939974457215836,0.16573258606885508,8613,1249,200,45,1030
24.0,25.714285714285715,0,197,0.1722689075630252,0.16942148760330578,4.804878048780488,1,41,20.5,4.551004551004552,0.0205,0.9111111111111111,1653,0.8265,9.008999999999999,0.21973170731707314,1,0.9111111111111111,0,0.0,6.585786437626905,10,1.0,88.71111111111111,88.71111111111111,0.9042810205205007,-0.3735672160206585,Wang-like + neighbor table,gauss_markov,6.995772703281247,10,183.2,183.2,200.0,200.0,200.0,200.0,1003,wang2025_comm_tables,1,997,2000,48.78048780487805,20261717,20282326,0,0.8279835390946502,0.008507621410847217,0.1720164609053498,8463,1215,200,45,1003
24.0,25.714285714285715,0,257,0.1461794019933555,0.1456953642384106,5.840909090909091,1,44,22.0,4.8823790501553495,0.022,0.9777777777777777,1648,0.824,9.011999999999999,0.2048181818181818,2,0.9777777777777777,0,0.0,8.000000000000005,10,1.0,51.4,51.4,0.8513924983615131,-2.7048087692462564,Wang-like + neighbor table,gauss_markov,8.291113590860327,10,101.00000000000003,101.00000000000003,151.39999999999998,151.39999999999998,192.52000000000004,192.52000000000004,1004,wang2025_comm_tables,1,996,2000,45.45454545454545,20262726,20283335,0,0.7952453987730062,0.008132956152758133,0.20475460122699388,8484,1304,200,45,1004
24.0,25.714285714285715,0,141,0.22527472527472528,0.22043010752688172,3.4390243902439024,1,41,20.5,4.572320731571318,0.0205,0.9111111111111111,1693,0.8465,8.966999999999999,0.2187073170731707,3,0.9111111111111111,0,0.0,5.829913513373966,10,1.0,89.53333333333333,89.53333333333333,0.9162307641083135,0.6235523570031704,Wang-like + neighbor table,gauss_markov,7.518056426690228,10,195.0,195.0,200.0,200.0,200.0,200.0,989,wang2025_comm_tables,1,1011,2000,48.78048780487805,20263735,20284344,0,0.8447037701974865,0.009265944645006017,0.15529622980251345,8310,1114,200,45,989
24.0,25.714285714285715,0,287,0.1355421686746988,0.1355421686746988,6.377777777777778,1,45,22.5,4.952129415648729,0.0225,1.0,1675,0.8375,9.087,0.20193333333333333,4,1.0,0,0.0,9.999999999999993,10,1.0,58.62222222222222,58.62222222222222,0.7706834755423926,-3.9569539445472213,Wang-like + neighbor table,gauss_markov,7.313179675233741,10,122.80000000000001,122.80000000000001,132.39999999999998,132.39999999999998,157.8,157.8,1029,wang2025_comm_tables,1,971,2000,44.44444444444444,20264744,20285353,0,0.718013468013468,0.00989187945709685,0.281986531986532,8694,1188,200,45,1029
24.0,25.714285714285715,0,177,0.19545454545454546,0.19369369369369369,4.116279069767442,1,43,21.5,4.798571587992411,0.0215,0.9555555555555556,1648,0.824,8.961,0.2083953488372093,0,0.9555555555555556,0,0.0,8.0,10,1.0,66.62222222222222,66.62222222222222,0.9047253504817699,-0.19597311080506716,Wang-like + sensing table,gauss_markov,7.764229004183815,10,140.60000000000002,140.60000000000002,183.39999999999992,183.39999999999992,200.0,200.0,987,wang2025_isac_tables,1,1013,2000,46.51162790697674,20260708,20281147,0,0.8245931283905967,0.009595777857742594,0.17540687160940324,8337,1106,200,45,987
24.0,25.714285714285715,0,167,0.21226415094339623,0.21226415094339623,3.7111111111111112,1,45,22.5,5.033557046979866,0.0225,1.0,1682,0.841,8.94,0.19866666666666666,1,1.0,0,0.0,9.999999999999993,10,1.0,64.77777777777777,64.77777777777777,0.9057329617862113,-0.03582811468895348,Wang-like + sensing table,gauss_markov,6.995772703281247,10,139.6,139.6,161.19999999999993,161.19999999999993,180.72000000000003,180.72000000000003,980,wang2025_isac_tables,1,1020,2000,44.44444444444444,20261717,20282156,0,0.8472468916518651,0.007320644216691069,0.152753108348135,8196,1126,200,45,980
24.0,25.714285714285715,0,239,0.1524822695035461,0.15140845070422534,5.558139534883721,1,43,21.5,4.8260381593714925,0.0215,0.9555555555555556,1664,0.832,8.91,0.2072093023255814,2,0.9555555555555556,0,0.0,8.0,10,1.0,58.44444444444444,58.44444444444444,0.8658613134995357,-1.7573498122458422,Wang-like + sensing table,gauss_markov,8.291113590860327,10,151.60000000000002,151.60000000000002,176.59999999999997,176.59999999999997,200.0,200.0,970,wang2025_isac_tables,1,1030,2000,46.51162790697674,20262726,20283165,0,0.7985989492119089,0.007219774840920215,0.20140105078809106,8172,1142,200,45,970
24.0,25.714285714285715,0,207,0.1686746987951807,0.16666666666666666,4.928571428571429,1,42,21.0,4.7090480995627315,0.021,0.9333333333333333,1643,0.8215,8.918999999999999,0.21235714285714283,3,0.9333333333333333,0,0.0,6.00000000000001,10,1.0,66.0,66.0,0.9225939940879909,0.5388487739268046,Wang-like + sensing table,gauss_markov,7.518056426690228,10,136.6,136.6,196.79999999999995,196.79999999999995,200.0,200.0,973,wang2025_isac_tables,1,1027,2000,47.61904761904762,20263735,20284174,0,0.866885784716516,0.008806852455060923,0.13311421528348397,8289,1217,200,45,973
24.0,25.714285714285715,0,300,0.12280701754385964,0.12173913043478261,7.142857142857143,1,42,21.0,4.701141705842848,0.021,0.9333333333333333,1655,0.8275,8.934,0.2127142857142857,4,0.9333333333333333,0,0.0,7.999999999999998,10,1.0,66.55555555555556,66.55555555555556,0.7718361004344862,-3.7243134649165266,Wang-like + sensing table,gauss_markov,7.313179675233741,10,131.60000000000002,131.60000000000002,196.79999999999995,196.79999999999995,200.0,200.0,978,wang2025_isac_tables,1,1022,2000,47.61904761904762,20264744,20285183,0,0.7158798283261802,0.010167029774872912,0.28412017167381975,8262,1165,200,45,978
24.0,25.714285714285715,0,302,0.1246376811594203,0.1239193083573487,7.023255813953488,1,43,22.11934156378601,4.370807074608661,0.022119341563786008,0.9555555555555556,1187,0.61059670781893,9.838,0.2287906976744186,0,0.9555555555555556,56,0.0,8.0,10,1.0,60.733333333333334,60.733333333333334,0.8947430814751908,-1.1896171386828336,"Ours: ISAC rule, no table exchange",gauss_markov,7.764229004183815,10,107.4,107.4,166.19999999999982,166.19999999999982,200.0,200.0,1944,improved_rl_isac,1,920,1944,45.2093023255814,20260708,20274930,0,0.8348476750400855,0.007663518089467118,0.16515232495991447,16833,3742,200,45,1024
24.0,25.714285714285715,0,299,0.12058823529411765,0.11918604651162791,7.2926829268292686,1,41,21.232522009321595,4.1934081669181005,0.021232522009321596,0.9111111111111111,1208,0.6255825996892802,9.77725,0.23846951219512197,1,0.9111111111111111,69,0.0,6.585786437626904,10,1.0,80.33333333333333,80.33333333333333,0.9032446428136868,-0.5115593465996001,"Ours: ISAC rule, no table exchange",gauss_markov,6.995772703281247,10,152.80000000000004,152.80000000000004,200.0,200.0,200.0,200.0,1931,improved_rl_isac,1,913,1931,47.09756097560975,20261717,20275939,0,0.8406440866185453,0.007949315641623335,0.15935591338145474,16731,3602,200,45,1018
24.0,25.714285714285715,0,291,0.13134328358208955,0.13095238095238096,6.613636363636363,1,44,22.880915236609464,4.504850392894623,0.022880915236609463,0.9777777777777777,1148,0.5969838793551742,9.767249999999999,0.22198295454545452,2,0.9777777777777777,77,0.0,8.000000000000002,10,1.0,72.13333333333334,72.13333333333334,0.8544509366157933,-2.483278525408495,"Ours: ISAC rule, no table exchange",gauss_markov,8.291113590860327,10,141.0,141.0,148.2,148.2,193.84000000000003,193.84000000000003,1923,improved_rl_isac,1,895,1923,43.70454545454545,20262726,20276948,0,0.801796896270079,0.008874689385871494,0.19820310372992103,16902,3673,200,45,1028
24.0,25.714285714285715,0,277,0.13166144200626959,0.13043478260869565,6.595238095238095,1,42,21.73913043478261,4.31078723185877,0.021739130434782608,0.9333333333333333,1192,0.6169772256728778,9.743,0.23197619047619047,3,0.9333333333333333,68,0.0,7.000000000000001,10,1.0,79.04444444444445,79.04444444444445,0.9292291983841656,0.9605708253711042,"Ours: ISAC rule, no table exchange",gauss_markov,7.518056426690228,10,180.00000000000003,180.00000000000003,198.59999999999997,198.59999999999997,200.0,200.0,1932,improved_rl_isac,1,933,1932,46.0,20263735,20277957,0,0.8731843575418995,0.008996041741633681,0.12681564245810056,16674,3580,200,45,999
24.0,25.714285714285715,0,233,0.14963503649635038,0.1474820143884892,5.682926829268292,1,41,21.199586349534645,4.17494017616211,0.021199586349534644,0.9111111111111111,1204,0.6225439503619442,9.8205,0.23952439024390243,4,0.9111111111111111,66,0.0,7.000000000000003,10,1.0,82.06666666666666,82.06666666666666,0.7522779422084702,-4.690323253583313,"Ours: ISAC rule, no table exchange",gauss_markov,7.313179675233741,10,166.00000000000003,166.00000000000003,200.0,200.0,200.0,200.0,1934,improved_rl_isac,1,900,1934,47.170731707317074,20264744,20278966,0,0.700605710989328,0.007815275310834813,0.29939428901067205,16890,3467,200,45,1034
24.0,25.714285714285715,0,64,0.38461538461538464,0.3669724770642202,1.6,1,40,20.59732234809475,4.653056476472983,0.02059732234809475,0.8888888888888888,1205,0.6204943357363543,8.5965,0.2149125,0,0.8888888888888888,58,0.0,6.999999999999996,10,1.0,77.88888888888889,77.88888888888889,0.8958881691790692,-0.9275175874362033,Ours: budgeted ISAC access,gauss_markov,7.764229004183815,10,192.40000000000003,192.40000000000003,200.0,200.0,200.0,200.0,1942,budgeted_collision_aware_isac,1,1535,1942,48.55,20260708,20306189,0,0.8446438586651711,0.008147487362473982,0.15535614133482895,16815,3566,200,45,407
24.0,25.714285714285715,0,63,0.3883495145631068,0.37037037037037035,1.575,1,40,20.5761316872428,4.666355576294914,0.0205761316872428,0.8888888888888888,1193,0.6136831275720165,8.572,0.2143,1,0.8888888888888888,56,0.0,6.267949192431119,10,1.0,82.24444444444444,82.24444444444444,0.8980228709980451,-1.0510962812960754,Ours: budgeted ISAC access,gauss_markov,6.995772703281247,10,197.60000000000002,197.60000000000002,200.0,200.0,200.0,200.0,1944,budgeted_collision_aware_isac,1,1553,1944,48.6,20261717,20307198,0,0.8353741496598639,0.007286298205082638,0.16462585034013605,16881,3675,200,45,391
