beam_count,eval_episode,node_count,phase,process_cpu_percent,rss_mb,seed,slot,slots_per_episode,system_available_mb,system_memory_percent
105,0,10,eval_stochastic,0.0,227.33203125,2026084001,200,200,21844.61328125,32.5
105,1,10,eval_stochastic,0.0,228.06640625,2026084002,200,200,21775.57421875,32.8
105,2,10,eval_stochastic,0.0,228.26953125,2026084003,200,200,21819.56640625,32.6
105,3,10,eval_stochastic,0.0,228.33984375,2026084004,200,200,21827.49609375,32.6
105,4,10,eval_stochastic,0.0,228.51953125,2026084005,200,200,21730.62890625,32.9
