protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,10,10,10,45.7,5.2504,44.5,40,56,3.25423,10,45.7,5.2504,44.5,40,56,3.25423,10,8.3,2.31181,8,4,12,1.43287,10,1.6,1.07497,2,0,3,0.666272,10,0.261906,0.038939,0.257619,0.20155,0.333333,0.0241346,10,3,2.16025,3,0,6,1.33893,10,0.591667,0.159329,0.583333,0.416667,0.916667,0.0987533,10,-6.40173e-17,1.69577e-16,-4.46905e-17,-4.37372e-16,2.24439e-16,1.05105e-16
improved_rl_isac,11,10,10,45.9,5.23768,45,40,56,3.24635,10,45.9,5.23768,45,40,56,3.24635,10,10,2.70801,9.5,7,15,1.67844,10,1.7,1.49443,1,0,4,0.92626,10,0.248711,0.0388871,0.249988,0.184397,0.321429,0.0241025,10,3.7,2.75076,3.5,0,10,1.70494,10,0.725,0.184466,0.666667,0.416667,1,0.114333,10,0.0149495,0.0472745,-8.99551e-17,-2.232e-16,0.149495,0.029301
improved_rl_isac,12,10,10,46.2,5.34997,45,40,57,3.31595,10,46.2,5.34997,45,40,57,3.31595,10,11.1,3.21282,11,8,17,1.99133,10,1.1,0.994429,1,0,3,0.616353,10,0.242661,0.0401496,0.241045,0.169935,0.311258,0.024885,10,4.9,3.41402,4.5,0,12,2.11603,10,0.758333,0.14933,0.708333,0.583333,1,0.0925556,10,0.0411459,0.130115,3.54168e-18,-2.232e-16,0.411459,0.080646
improved_rl_isac,13,10,10,46.4,5.25357,45.5,40,57,3.2562,10,46.4,5.25357,45.5,40,57,3.2562,10,11.8,3.25918,11.5,8,18,2.02006,10,0.7,0.674949,1,0,2,0.418337,10,0.232857,0.0411248,0.231078,0.157576,0.294479,0.0254894,10,5.3,3.94546,5,0,14,2.44542,10,0.808333,0.166898,0.791667,0.583333,1,0.103444,10,0.107003,0.200466,1.28503e-16,-4.59667e-16,0.54144,0.12425
improved_rl_isac,14,10,10,46.8,5.30827,45.5,40,57,3.2901,10,46.8,5.30827,45.5,40,57,3.2901,10,12.8,2.89828,12,9,18,1.79637,10,1,1.1547,1,0,3,0.715691,10,0.222462,0.0427253,0.221027,0.147727,0.297143,0.0264814,10,6.3,4.52278,5.5,0,16,2.80325,10,0.85,0.140546,0.833333,0.583333,1,0.0871111,10,0.107003,0.200466,2.02687e-16,-1.18567e-16,0.54144,0.12425
improved_rl_isac,15,10,10,46.8,5.30827,45.5,40,57,3.2901,10,46.8,5.30827,45.5,40,57,3.2901,10,13.6,3.20416,12,9,20,1.98596,10,0.8,1.13529,0,0,3,0.703662,10,0.21537,0.0410326,0.217404,0.144385,0.278075,0.0254323,10,6.6,4.52647,7,0,16,2.80553,10,0.866667,0.142725,0.916667,0.583333,1,0.0884618,10,0.125309,0.247409,2.85619e-16,-1.18567e-16,0.724503,0.153345
improved_rl_isac,16,10,10,47,5.22813,46,40,57,3.24043,10,47,5.22813,46,40,57,3.24043,10,14.9,2.84605,14,12,20,1.764,10,1.3,1.1595,2,0,3,0.718667,10,0.207309,0.0395901,0.206859,0.137056,0.267677,0.0245382,10,7.2,5.09466,8,0,18,3.1577,10,0.916667,0.117851,0.958333,0.666667,1,0.0730449,10,0.185928,0.247685,0.058565,1.54074e-32,0.724503,0.153516
improved_rl_isac,17,10,10,47.2,5.2873,46.5,41,58,3.2771,10,47.3,5.29255,46.5,41,58,3.28036,10,15.8,2.61619,15.5,13,20,1.62153,10,0.9,0.567646,1,0,2,0.351831,10,0.199305,0.0385295,0.201328,0.129808,0.252381,0.0238809,10,8.1,4.90918,8,2,18,3.04274,10,0.966667,0.0582672,1,0.833333,1,0.0361144,10,0.252532,0.252875,0.185276,-3.84821e-16,0.724503,0.156734
improved_rl_isac,18,10,10,47.6,5.37897,47,41,58,3.33392,10,47.7,5.37587,47.5,41,58,3.332,10,16.6,2.87518,16.5,13,21,1.78206,10,0.8,0.421637,1,0,1,0.261333,10,0.195161,0.0389217,0.20173,0.122727,0.243243,0.0241239,10,8.7,5.73585,8,2,20,3.55512,10,0.966667,0.0582672,1,0.833333,1,0.0361144,10,0.295821,0.295095,0.202293,-1.32357e-16,0.728027,0.182902
improved_rl_isac,19,10,10,47.8,5.2451,47.5,41,58,3.25095,10,47.9,5.25885,47.5,41,58,3.25947,10,17,2.90593,16.5,13,21,1.80112,10,0.4,0.699206,0,0,2,0.433372,10,0.188659,0.0350225,0.193997,0.12069,0.230769,0.0217072,10,9.9,6.87103,8,2,26,4.25871,10,0.966667,0.0582672,1,0.833333,1,0.0361144,10,0.325394,0.338788,0.202293,1.85265e-16,0.910351,0.209983
