seed,control,trained_collision_count,control_collision_count,collision_delta_trained_minus_control,trained_cpd,control_cpd,cpd_delta_trained_minus_control,trained_discovery_rate,control_discovery_rate,discovery_delta_trained_minus_control,collision_improved,cpd_improved,raw_discovery_not_dominant
52260731,random_weights_full,1134.0,6560.0,-5426.0,0.2182774490466798,0.16646394439617723,0.05181350465050258,0.2682828282828283,0.38707070707070707,-0.11878787878787878,True,True,True
52260731,zero_weights_rule_only,1134.0,7906.0,-6772.0,0.2182774490466798,0.16015868077162415,0.05811876827505566,0.2682828282828283,0.415959595959596,-0.14767676767676768,True,True,True
52260732,random_weights_full,1571.0,8053.0,-6482.0,0.23616009814445638,0.15611781896485427,0.0800422791796021,0.3111111111111111,0.4101010101010101,-0.09898989898989896,True,True,True
52260732,zero_weights_rule_only,1571.0,10138.0,-8567.0,0.23616009814445638,0.14163573700954402,0.09452436113491236,0.3111111111111111,0.4317171717171717,-0.1206060606060606,True,True,True
52260733,random_weights_full,1541.0,8261.0,-6720.0,0.23478662763826838,0.15699038679887972,0.07779624083938866,0.30787878787878786,0.41898989898989897,-0.1111111111111111,True,True,True
52260733,zero_weights_rule_only,1541.0,10613.0,-9072.0,0.23478662763826838,0.13731285741823557,0.09747377022003281,0.30787878787878786,0.4317171717171717,-0.12383838383838386,True,True,True
