beamwidth_deg,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,delta_ci95,positive_pairs,negative_pairs,zero_pairs
10.0,improved_rl_isac,ablation_isac_no_candidate_set,collision_count,5,1064.4,3.2,1061.2,50.9431055197855,44.65360079545657,5,0,0
10.0,improved_rl_isac,ablation_isac_no_candidate_set,collision_penalized_discovery_rate,5,0.29951165452826,0.03323096748153438,0.2662806870467257,0.006381448864818507,0.005593586555015835,5,0,0
10.0,improved_rl_isac,ablation_isac_no_candidate_set,discovery_rate,5,0.36391919191919186,0.0332525252525252,0.33066666666666666,0.007211300635207363,0.006320983703192342,5,0,0
10.0,improved_rl_isac,ablation_isac_no_candidate_set,empty_scan_ratio,5,0.5010035958357233,0.49860116639818736,0.0024024294375359135,0.006843851084420149,0.005998899971038448,2,3,0
10.0,improved_rl_isac,ablation_isac_no_candidate_set,lambda2,5,13.135895800953827,-7.939598709200035e-16,13.135895800953827,1.77985586779259,1.560112454530155,5,0,0
10.0,improved_rl_isac,ablation_isac_one_slot_delay,collision_count,5,1064.4,670.6,393.8,57.43431030316286,50.34339265484597,5,0,0
10.0,improved_rl_isac,ablation_isac_one_slot_delay,collision_penalized_discovery_rate,5,0.29951165452826,0.26219433581849516,0.037317318709764936,0.006330813170066977,0.005549202411639313,5,0,0
10.0,improved_rl_isac,ablation_isac_one_slot_delay,discovery_rate,5,0.36391919191919186,0.29773737373737375,0.06618181818181817,0.00616509257783003,0.0054039419079100846,5,0,0
10.0,improved_rl_isac,ablation_isac_one_slot_delay,empty_scan_ratio,5,0.5010035958357233,0.49567990144197305,0.005323694393750311,0.0022919853097508962,0.0020090137027652948,5,0,0
10.0,improved_rl_isac,ablation_isac_one_slot_delay,lambda2,5,13.135895800953827,9.477315769218757,3.658580031735069,2.20142955437133,1.9296380834505342,5,0,0
10.0,improved_rl_isac,improved_rl_no_isac,collision_count,5,1064.4,0.0,1064.4,51.73780049441607,45.35018165343993,5,0,0
10.0,improved_rl_isac,improved_rl_no_isac,collision_penalized_discovery_rate,5,0.29951165452826,0.0006060606060606,0.29890559392219945,0.0038220368765690626,0.0033501630332596036,5,0,0
10.0,improved_rl_isac,improved_rl_no_isac,discovery_rate,5,0.36391919191919186,0.0006060606060606,0.36331313131313137,0.005925428506824709,0.005193867087333449,5,0,0
10.0,improved_rl_isac,improved_rl_no_isac,empty_scan_ratio,5,0.5010035958357233,0.9011008838970982,-0.4000972880613749,0.007053194377158295,0.006182397457651333,0,5,0
10.0,improved_rl_isac,improved_rl_no_isac,lambda2,5,13.135895800953827,0.0,13.135895800953827,1.7798558677925893,1.5601124545301543,5,0,0
10.0,improved_rl_isac,uniform_random,collision_count,5,1064.4,0.0,1064.4,51.73780049441607,45.35018165343993,5,0,0
10.0,improved_rl_isac,uniform_random,collision_penalized_discovery_rate,5,0.29951165452826,0.0004444444444444399,0.2990672100838156,0.003748192835471575,0.0032854358773737134,5,0,0
