protocol,beamwidth_deg,n_episodes,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,lambda2_mean,lambda2_std,collision_count_mean,collision_count_std,discovery_rate_ci95,collision_penalized_discovery_rate_ci95,empty_scan_ratio_ci95,lambda2_ci95,collision_count_ci95
ablation_isac_no_candidate_set,10.0,5,0.0332525252525252,0.0031442547811464,0.0332309674815344,0.0031413229032964,0.4986011663981874,0.0030249744807527,-7.939598709200035e-16,3.952545837662127e-16,3.2,2.712931993250108,0.0027560608322550533,0.0027534909280107172,0.002651507039112745,3.4645591814609745e-16,2.377989739254567
ablation_isac_one_slot_delay,10.0,5,0.2977373737373737,0.0089460056585684,0.2621943358184951,0.0068371773307791,0.495679901441973,0.0065512735883983,9.47731576921876,1.9636122427816187,670.6,45.08924483732235,0.007841519697625431,0.005993050168050312,0.005742444488480171,1.721182018873724,39.52246567207061
improved_rl_isac,10.0,5,0.3639191919191919,0.0052035008190054,0.29951165452826,0.003381080620226,0.5010035958357233,0.0067087449757459,13.135895800953827,1.5919514842144435,1064.4,46.27569556473462,0.004561069568490586,0.0029636478328591343,0.005880474245315379,1.3954070003493901,40.56243558762219
improved_rl_no_isac,10.0,5,0.0006060606060606,0.0001806923618181,0.0006060606060606,0.0001806923618181,0.9011008838970982,0.00126874990525,0.0,0.0,0.0,0.0,0.00015838383838378154,0.00015838383838378154,0.0011121083255574834,0.0,0.0
uniform_random,10.0,5,0.0004444444444444,8.080808080808081e-05,0.0004444444444444,8.080808080808081e-05,0.9019559232024712,0.0013692428178263,0.0,0.0,0.0,0.0,7.08314058327206e-05,7.08314058327206e-05,0.0012001942471982835,0.0,0.0
ablation_isac_no_candidate_set,15.0,5,0.1079595959595959,0.0024729121209049,0.107222677243672,0.0024351483600392,0.3246397372268623,0.0038114443692083,1.5642451728604505,0.8771354173542782,34.0,6.06630035524124,0.0021676030450528015,0.002134501649191155,0.0033408782911873575,0.7688430921213114,5.317346706770209
ablation_isac_one_slot_delay,15.0,5,0.5107070707070707,0.011244379838445,0.2206924158393807,0.0047781291627308,0.3317099504655863,0.007015086686902,23.01237447899308,3.6030843741638217,6510.8,375.4673887303664,0.00985613349196772,0.0041882148723509675,0.006148994594386929,3.158242703004656,329.1116769778916
improved_rl_isac,15.0,5,0.5444848484848486,0.0028609940956929,0.2042209662900044,0.0057357395672858,0.3305896754062238,0.0051438046768334,26.85257725597016,3.059479400746551,8256.2,312.8017902762067,0.002507771894228386,0.0050275974008850205,0.004508743592789281,2.6817519350052064,274.1828580841625
improved_rl_no_isac,15.0,5,0.0033939393939393,0.0009160229534347,0.0033939393939393,0.0009160229534347,0.8351780864966705,0.002589025992421,-4.1812100077822326e-16,3.1714146390597816e-16,0.0,0.0,0.0008029295203894045,0.0008029295203894045,0.002269381340910347,2.7798674973680474e-16,0.0
uniform_random,15.0,5,0.0025858585858585,0.0008609000304106,0.0025858585858585,0.0008609000304106,0.835246068480272,0.0023887529177481,-2.943051281124713e-16,3.184065746555064e-16,0.0,0.0,0.0007546121480132571,0.0007546121480132571,0.00209383425097,2.79095668201729e-16,0.0
