angular_cell_offset_std,area_diagonal_m_max,area_diagonal_m_mean,area_diagonal_m_min,area_diagonal_m_std,area_scale,azimuth_cells,base_seed_max,base_seed_mean,base_seed_min,base_seed_std,beam_count,beamwidth_deg,case_id_max,case_id_mean,case_id_min,case_id_std,collision_count_max,collision_count_mean,collision_count_min,collision_count_std,collision_normalized_efficiency_max,collision_normalized_efficiency_mean,collision_normalized_efficiency_min,collision_normalized_efficiency_std,collision_penalized_discovery_rate_max,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_min,collision_penalized_discovery_rate_std,collisions_per_discovery_censored_max,collisions_per_discovery_censored_mean,collisions_per_discovery_censored_min,collisions_per_discovery_censored_std,communication_range_m_max,communication_range_m_mean,communication_range_m_min,communication_range_m_std,communication_range_to_diagonal_ratio,connected_components_max,connected_components_mean,connected_components_min,connected_components_std,discovered_edges_max,discovered_edges_mean,discovered_edges_min,discovered_edges_std,discoveries_per_1000_scan_actions_max,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_min,discoveries_per_1000_scan_actions_std,discovery_per_scan_action_max,discovery_per_scan_action_mean,discovery_per_scan_action_min,discovery_per_scan_action_std,discovery_rate_max,discovery_rate_mean,discovery_rate_min,discovery_rate_std,elevation_cells,empty_scan_count_max,empty_scan_count_mean,empty_scan_count_min,empty_scan_count_std,empty_scan_ratio_max,empty_scan_ratio_mean,empty_scan_ratio_min,empty_scan_ratio_std,false_alarm_rate,finite_time_discovery_rate_max,finite_time_discovery_rate_mean,finite_time_discovery_rate_min,finite_time_discovery_rate_std,idle_actions_max,idle_actions_mean,idle_actions_min,idle_actions_std,isac_error_sweep_enabled_max,isac_error_sweep_enabled_mean,isac_error_sweep_enabled_min,isac_error_sweep_enabled_std,isolated_node_ratio_max,isolated_node_ratio_mean,isolated_node_ratio_min,isolated_node_ratio_std,lambda2_max,lambda2_mean,lambda2_min,lambda2_std,largest_component_size_max,largest_component_size_mean,largest_component_size_min,largest_component_size_std,lcc_ratio_max,lcc_ratio_mean,lcc_ratio_min,lcc_ratio_std,mean_delay_censored_max,mean_delay_censored_mean,mean_delay_censored_min,mean_delay_censored_std,mean_discovery_delay_max,mean_discovery_delay_mean,mean_discovery_delay_min,mean_discovery_delay_std,miss_detection_rate,mobility_model,moved_distance_mean_m_max,moved_distance_mean_m_mean,moved_distance_mean_m_min,moved_distance_mean_m_std,n_episodes,node_count,p90_delay_censored_max,p90_delay_censored_mean,p90_delay_censored_min,p90_delay_censored_std,p90_discovery_delay_max,p90_discovery_delay_mean,p90_discovery_delay_min,p90_discovery_delay_std,p95_delay_censored_max,p95_delay_censored_mean,p95_delay_censored_min,p95_delay_censored_std,p95_discovery_delay_max,p95_discovery_delay_mean,p95_discovery_delay_min,p95_discovery_delay_std,p99_delay_censored_max,p99_delay_censored_mean,p99_delay_censored_min,p99_delay_censored_std,p99_discovery_delay_max,p99_discovery_delay_mean,p99_discovery_delay_min,p99_discovery_delay_std,piggyback_sense_actions_max,piggyback_sense_actions_mean,piggyback_sense_actions_min,piggyback_sense_actions_std,protocol,range_mode,range_sweep_enabled,rx_actions_max,rx_actions_mean,rx_actions_min,rx_actions_std,scan_actions_max,scan_actions_mean,scan_actions_min,scan_actions_per_discovery_censored_max,scan_actions_per_discovery_censored_mean,scan_actions_per_discovery_censored_min,scan_actions_per_discovery_censored_std,scan_actions_std,sense_actions_max,sense_actions_mean,sense_actions_min,sense_actions_std,sensing_range_m_max,sensing_range_m_mean,sensing_range_m_min,sensing_range_m_std,sensing_range_to_diagonal_ratio_max,sensing_range_to_diagonal_ratio_mean,sensing_range_to_diagonal_ratio_min,sensing_range_to_diagonal_ratio_std,sensing_to_comm_range_ratio,slots_max,slots_mean,slots_min,slots_std,train_beamwidth_deg_max,train_beamwidth_deg_mean,train_beamwidth_deg_min,train_beamwidth_deg_std,train_node_count_max,train_node_count_mean,train_node_count_min,train_node_count_std,true_edges_seen_max,true_edges_seen_mean,true_edges_seen_min,true_edges_seen_std,tx_actions_max,tx_actions_mean,tx_actions_min,tx_actions_std
0.0,378.549864614954,378.549864614954,378.549864614954,0.0,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,12.0,6.0,0.0,4.898979485566356,18.0,12.666666666666666,6.0,4.988876515698588,0.8333333333333334,0.7439682539682541,0.6785714285714286,0.06541493045729067,0.6101694915254238,0.6005264629392246,0.5882352941176471,0.009148287235342735,0.47368421052631576,0.35419103313840156,0.2,0.11439323309856635,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.0,1.0,1.0,0.0,38.0,34.666666666666664,30.0,3.39934634239519,6.563039723661485,5.9875354936942555,5.167958656330749,0.5951142043714964,0.0065630397236614854,0.005987535493694255,0.00516795865633075,0.0005951142043714964,0.8444444444444444,0.7703703703703703,0.6666666666666666,0.07554102983100425,18,5060.0,4953.666666666667,4900.0,75.19012937583999,0.8716623600344531,0.8554376251545143,0.8464594127806563,0.011494381348953865,0.0,0.8444444444444444,0.7703703703703703,0.6666666666666666,0.07554102983100425,223.0,209.33333333333334,195.0,11.440668201153676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.198062264195159,4.947490481412951,3.262443168793591,1.2372123525199803,10.0,10.0,10.0,0.0,1.0,1.0,1.0,0.0,380.84444444444443,314.36296296296297,266.15555555555557,48.57188244303854,380.84444444444443,314.36296296296297,266.15555555555557,48.57188244303854,0.0,gauss_markov,4.105436752563234,3.704805904337499,3.371907089390524,0.30326793757074916,3,10,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,5805.0,5790.666666666667,5777.0,11.440668201153676,ablation_isac_no_beam_lock,singlehop,False,2738.0,2707.6666666666665,2676.0,25.32894698868383,5805.0,5790.666666666667,5777.0,193.5,168.78021442495128,152.3684210526316,17.789861298060664,11.440668201153676,0.0,0.0,0.0,0.0,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,45.0,45.0,45.0,0.0,3114.0,3083.0,3067.0,21.924111536540465
0.0,378.549864614954,378.549864614954,378.549864614954,0.0,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,13.0,7.0,1.0,4.898979485566356,236.0,179.66666666666666,128.0,44.21412544525662,0.23809523809523808,0.19648826943884654,0.15412186379928317,0.03428619212900622,0.23121387283236994,0.1932311097729813,0.15302491103202848,0.03195920510615946,5.488372093023256,4.252713178294574,3.2,0.9431378711130459,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.0,1.0,1.0,0.0,43.0,42.0,40.0,1.4142135623730951,7.439446366782008,7.275625393791857,6.949270326615705,0.23076847909817477,0.007439446366782007,0.007275625393791857,0.006949270326615705,0.0002307684790981746,0.9555555555555556,0.9333333333333332,0.8888888888888888,0.03142696805273549,12,4045.0,3949.3333333333335,3867.0,73.27725128275183,0.7027449617790132,0.6842090558257709,0.6690311418685121,0.013966925119086248,0.0,0.9555555555555556,0.9333333333333332,0.8888888888888888,0.03142696805273549,244.0,227.66666666666666,219.0,11.556623882239812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0000000000000036,6.7939886704167,6.3819660112501015,0.29134401629921575,10.0,10.0,10.0,0.0,1.0,1.0,1.0,0.0,231.2,187.55555555555554,164.17777777777778,30.887407371878563,231.2,187.55555555555554,164.17777777777778,30.887407371878563,0.0,gauss_markov,4.105436752563234,3.704805904337499,3.371907089390524,0.30326793757074916,3,10,565.6000000000001,490.66666666666674,443.60000000000014,53.56250761700972,565.6000000000001,490.66666666666674,443.60000000000014,53.56250761700972,600.0,557.6666666666665,518.3999999999999,33.38356215598069,600.0,557.6666666666665,518.3999999999999,33.38356215598069,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,5781.0,5772.333333333333,5756.0,11.556623882239812,ablation_isac_no_beam_lock,singlehop,False,2738.0,2719.3333333333335,2697.0,16.937794687883333,5781.0,5772.333333333333,5756.0,143.9,137.58682170542636,134.41860465116278,4.464101278908408,11.556623882239812,0.0,0.0,0.0,0.0,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,45.0,45.0,45.0,0.0,3084.0,3053.0,3033.0,22.22611077089287
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,16.0,10.0,4.0,4.898979485566356,1235.0,1096.3333333333333,1024.0,98.08273151896934,0.6281771968046478,0.6167336140154062,0.5953473132372215,0.015134806342080778,0.29377526273241716,0.29083130437198773,0.2891304347826087,0.0020900652207310193,0.6796917996697853,0.6224397945083108,0.5919075144508671,0.04051319098001974,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1817.0,1758.6666666666667,1729.0,41.24991582482994,31.471922957009735,30.473831169884992,29.96066471434265,0.7058516378177628,0.031471922957009735,0.03047383116988499,0.02996066471434265,0.0007058516378177624,0.36707070707070705,0.35528619528619526,0.34929292929292927,0.008333316328248474,18,28563.0,28299.0,27814.0,343.3957871999403,0.49512896962973235,0.490364609095332,0.48176118058682926,0.00609525925925084,0.0,0.36707070707070705,0.35528619528619526,0.34929292929292927,0.008333316328248474,2312.0,2289.6666666666665,2266.0,18.80307303489394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.190724933745695,13.186628722397941,8.819483130248905,3.1598764893881244,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,482.2062626262626,479.0783164983165,472.85939393939395,4.397468213645233,482.2062626262626,479.0783164983165,472.85939393939395,4.397468213645233,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57734.0,57710.333333333336,57688.0,18.803073034893938,ablation_isac_no_beam_lock,singlehop,False,27423.0,27403.333333333332,27390.0,14.197026292697903,57734.0,57710.333333333336,57688.0,33.3770965876229,32.832371552390526,31.774353329664283,0.748241899378653,18.803073034893938,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30337.0,30307.0,30286.0,21.77154105707724
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,17.0,11.0,5.0,4.898979485566356,8215.0,8164.666666666667,8137.0,35.64952859280034,0.2487543827274405,0.24477226456083392,0.24172956853974467,0.002943794497869416,0.20592728383745798,0.20178486454168487,0.1982119660732024,0.003175405226675568,3.1368542791056284,3.086018068540588,3.0200296735905043,0.04888209373700398,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,2696.0,2646.3333333333335,2594.0,41.68399639616571,46.75928334807569,45.917353638214905,45.01596556990143,0.7129472590203871,0.04675928334807569,0.0459173536382149,0.04501596556990143,0.0007129472590203888,0.5446464646464646,0.5346127946127947,0.5240404040404041,0.008421009372962732,12,19098.0,18765.0,18484.0,253.34692945971668,0.33142440649729277,0.325599397146332,0.3205855316787207,0.00446197023991198,0.0,0.5446464646464646,0.5346127946127947,0.5240404040404041,0.008421009372962732,2384.0,2367.6666666666665,2343.0,17.745108872274887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.373013492468402,28.334898448699395,25.528134529100754,2.051231965292438,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,414.4042424242424,410.5880808080808,405.510101010101,3.739035233556163,414.4042424242424,410.5880808080808,405.510101010101,3.739035233556163,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57657.0,57632.333333333336,57616.0,17.745108872274887,ablation_isac_no_beam_lock,singlehop,False,27414.0,27401.666666666668,27383.0,13.424687043734844,57657.0,57632.333333333336,57616.0,22.214340786430224,21.783520919368442,21.38612759643917,0.3389417574434396,17.745108872274887,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30243.0,30230.666666666668,30208.0,16.048537489614297
0.0,647.3111631092913,647.3111631092913,647.3111631092913,0.0,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,14.0,8.0,2.0,4.898979485566356,565.0,396.0,299.0,119.93609409459134,0.6647982062780269,0.6196087697741745,0.5368852459016393,0.05857779524707721,0.40090380890897354,0.3853110693890091,0.3659217877094972,0.014531477352677504,0.8625954198473282,0.6295168006280448,0.5042158516020236,0.16496666002183277,679.6767212647559,679.6767212647559,679.6767212647559,0.0,1.05,1.0,1.0,1.0,0.0,655.0,623.0,593.0,25.350871122442058,22.69341371305824,21.5902994447837,20.554592720970536,0.874469988749945,0.02269341371305824,0.0215902994447837,0.020554592720970537,0.0008744699887499442,0.5346938775510204,0.5085714285714286,0.4840816326530612,0.02069458867138127,18,17986.0,17586.333333333332,16958.0,449.74980699149705,0.623366720964891,0.609468422357753,0.5875342133527354,0.01569339653879638,0.0,0.5346938775510204,0.5085714285714286,0.4840816326530612,0.02069458867138127,1150.0,1144.6666666666667,1137.0,5.557777333511022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9716979684869,12.378728135936365,9.716865974799916,2.145829200281727,50.0,50.0,50.0,0.0,1.0,1.0,1.0,0.0,428.0710204081633,420.4378231292517,406.82938775510206,9.646392837497606,428.0710204081633,420.4378231292517,406.82938775510206,9.646392837497606,0.0,gauss_markov,4.311418759161204,4.127204394248218,3.953768670527548,0.14620882509702807,3,50,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,28863.0,28855.333333333332,28850.0,5.557777333511022,ablation_isac_no_beam_lock,singlehop,False,13655.0,13642.0,13634.0,9.273618495495704,28863.0,28855.333333333332,28850.0,48.65092748735245,46.39291138409939,44.06564885496183,1.8725724435987035,5.557777333511022,0.0,0.0,0.0,0.0,679.6767212647559,679.6767212647559,679.6767212647559,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,1225.0,1225.0,1225.0,0.0,15229.0,15213.333333333334,15195.0,14.007934259633798
0.0,647.3111631092913,647.3111631092913,647.3111631092913,0.0,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,15.0,9.0,3.0,4.898979485566356,4271.0,3229.6666666666665,2468.0,762.1733544425588,0.2539298669891173,0.21416672478627727,0.1685808837843099,0.035085990551810865,0.22745735174654752,0.19476931002196377,0.15756914119359533,0.02870957983930307,4.931870669745958,3.8052129949214244,2.9380952380952383,0.834388336743128,679.6767212647559,679.6767212647559,679.6767212647559,0.0,1.05,1.0,1.0,1.0,0.0,866.0,846.0,832.0,14.514360704718161,30.045449814384348,29.361577483128467,28.898923237235152,0.49351384917816393,0.030045449814384347,0.029361577483128468,0.02889892323723515,0.0004935138491781637,0.7069387755102041,0.6906122448979591,0.6791836734693878,0.011848457718137279,12,11706.0,11512.0,11169.0,243.232399157678,0.40609172275029487,0.3995437431724045,0.38750303577004475,0.008524958069406376,0.0,0.7069387755102041,0.6906122448979591,0.6791836734693878,0.011848457718137279,1210.0,1187.0,1174.0,16.30950643030009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.190848950344417,23.00138980921791,19.6255033843903,2.683530876684606,50.0,50.0,50.0,0.0,1.0,1.0,1.0,0.0,335.5967346938776,327.76598639455784,316.80897959183676,7.982274304821992,335.5967346938776,327.76598639455784,316.80897959183676,7.982274304821992,0.0,gauss_markov,4.311418759161204,4.127204394248218,3.953768670527548,0.14620882509702807,3,50,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,28826.0,28813.0,28790.0,16.30950643030009,ablation_isac_no_beam_lock,singlehop,False,13675.0,13645.333333333334,13615.0,24.499433100017278,28826.0,28813.0,28790.0,34.60336538461539,34.067647327332665,33.28290993071594,0.5671029447727917,16.30950643030009,0.0,0.0,0.0,0.0,679.6767212647559,679.6767212647559,679.6767212647559,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,1225.0,1225.0,1225.0,0.0,15208.0,15167.666666666666,15144.0,28.66279043560755
0.0,378.549864614954,378.549864614954,378.549864614954,0.0,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,12.0,6.0,0.0,4.898979485566356,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.03142696805273545,0.0,0.0,0.0,0.0,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,9.0,7.0,6.0,1.4142135623730951,4.0,3.0,1.0,1.4142135623730951,0.6791171477079797,0.5072399875634787,0.16818028927009754,0.23975907229831012,0.0006791171477079797,0.0005072399875634786,0.00016818028927009755,0.00023975907229831009,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.03142696805273545,18,5271.0,5222.666666666667,5183.0,36.444783196257625,0.8864783047426842,0.8818634981572749,0.873882987691789,0.005666067116875981,0.0,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.03142696805273545,110.0,77.66666666666667,54.0,23.66901396810231,0.0,0.0,0.0,0.0,0.8,0.5666666666666668,0.4,0.16996731711975951,0.0,0.0,0.0,0.0,5.0,3.6666666666666665,2.0,1.247219128924647,0.5,0.3666666666666667,0.2,0.1247219128924647,595.8,575.6962962962963,558.3555555555556,15.410971809921628,595.8,575.6962962962963,558.3555555555556,15.410971809921628,0.0,gauss_markov,4.105436752563234,3.704805904337499,3.371907089390524,0.30326793757074916,3,10,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,5946.0,5922.333333333333,5890.0,23.66901396810231,ablation_isac_no_candidate_set,singlehop,False,2660.0,2637.6666666666665,2601.0,26.132142830026186,5946.0,5922.333333333333,5890.0,5946.0,2967.0833333333335,1472.5,2106.4163320409593,23.66901396810231,0.0,0.0,0.0,0.0,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,45.0,45.0,45.0,0.0,3289.0,3284.6666666666665,3279.0,4.189935029992179
0.0,378.549864614954,378.549864614954,378.549864614954,0.0,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,13.0,7.0,1.0,4.898979485566356,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.34814814814814815,0.28888888888888886,0.045662325947918365,0.0,0.0,0.0,0.0,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.0,1.0,1.0,0.0,18.0,15.666666666666666,13.0,2.0548046676563256,3.0711482682136153,2.6655660734116187,2.2127659574468086,0.3520200722672349,0.0030711482682136155,0.0026655660734116187,0.0022127659574468087,0.00035202007226723493,0.4,0.34814814814814815,0.28888888888888886,0.045662325947918365,12,4213.0,4171.0,4099.0,51.146847410177685,0.7167718819314111,0.7095946483874552,0.6977021276595745,0.00846913344316571,0.0,0.4,0.34814814814814815,0.28888888888888886,0.045662325947918365,139.0,122.0,102.0,15.253414918196734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3151774903724944,0.9353815509903939,0.3724907453206501,0.4060438173151412,10.0,10.0,10.0,0.0,1.0,1.0,1.0,0.0,514.2888888888889,496.43703703703704,484.9555555555556,12.794460392500094,514.2888888888889,496.43703703703704,484.9555555555556,12.794460392500094,0.0,gauss_markov,4.105436752563234,3.704805904337499,3.371907089390524,0.30326793757074916,3,10,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,5898.0,5878.0,5861.0,15.253414918196734,ablation_isac_no_candidate_set,singlehop,False,2710.0,2689.3333333333335,2677.0,14.70449666674185,5898.0,5878.0,5861.0,451.9230769230769,382.05306267806264,325.6111111111111,52.43353142970816,15.253414918196734,0.0,0.0,0.0,0.0,397.4773578457017,397.47735784570176,397.4773578457017,5.684341886080802e-14,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,45.0,45.0,45.0,0.0,3221.0,3188.6666666666665,3165.0,23.66901396810231
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,16.0,10.0,4.0,4.898979485566356,8.0,3.3333333333333335,0.0,3.39934634239519,1.0,0.9793061133422579,0.9518072289156626,0.02025449402268395,0.03333333333333333,0.03129210154383159,0.028675282714054926,0.0019447080712606218,0.05063291139240506,0.021572472811552862,0.0,0.021338152880688223,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,11.0,7.333333333333333,5.0,2.6246692913372702,165.0,155.0,142.0,9.626352718795768,2.8140189306728063,2.6399564175818075,2.415664392766616,0.1664608809974117,0.0028140189306728063,0.002639956417581808,0.002415664392766616,0.00016646088099741166,0.03333333333333333,0.031313131313131314,0.028686868686868688,0.0019447177209688412,18,29442.0,29269.666666666668,29046.0,165.69114507286005,0.5021233051931441,0.4984931877887974,0.49412245036830377,0.003308051590516774,0.0,0.03333333333333333,0.031313131313131314,0.028686868686868688,0.0019447177209688412,1365.0,1283.3333333333333,1217.0,61.38584708401622,0.0,0.0,0.0,0.0,0.1,0.06,0.04,0.0282842712474619,-5.700240395876778e-16,-9.242429476708332e-16,-1.520641831036456e-15,4.241909174539223e-16,96.0,93.0,90.0,2.449489742783178,0.96,0.93,0.9,0.024494897427831758,591.3408080808081,590.5147474747474,590.0032323232323,0.5896221157345939,591.3408080808081,590.5147474747474,590.0032323232323,0.5896221157345939,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,58783.0,58716.666666666664,58635.0,61.38584708401622,ablation_isac_no_candidate_set,singlehop,False,26935.0,26871.666666666668,26763.0,77.18952145351221,58783.0,58716.666666666664,58635.0,413.96478873239437,380.3499813611242,355.3636363636364,24.689559695526253,61.38584708401622,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,32020.0,31845.0,31700.0,132.35054464061216
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,17.0,11.0,5.0,4.898979485566356,44.0,34.0,28.0,7.118052168020874,0.9487179487179487,0.9400094458917989,0.9247863247863248,0.010801569160547808,0.10832999599519423,0.10633811885978496,0.10405785456006428,0.0017559752234097231,0.08133086876155268,0.06396069931894989,0.05405405405405406,0.012322994766160146,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,2.0,1.3333333333333333,1.0,0.4714045207910317,541.0,530.0,518.0,9.41629792788369,9.318267938957593,9.12414354905355,8.903250201955965,0.17048433614931796,0.009318267938957594,0.00912414354905355,0.008903250201955966,0.00017048433614931787,0.10929292929292929,0.10707070707070705,0.10464646464646464,0.0019022824096734737,12,19200.0,18916.666666666668,18569.0,261.5904347554695,0.33070377897964104,0.3256501694151688,0.3200062040084788,0.004387172026202427,0.0,0.10929292929292929,0.10707070707070705,0.10464646464646464,0.0019022824096734737,1973.0,1911.3333333333333,1819.0,66.50480350237032,0.0,0.0,0.0,0.0,0.01,0.0033333333333333335,0.0,0.004714045207910317,2.68518878369196,1.5115791899225763,8.548717289614478e-15,1.121970673104315,100.0,99.66666666666667,99.0,0.4714045207910317,1.0,0.9966666666666667,0.99,0.004714045207910321,569.9236363636363,568.4860606060606,567.0743434343434,1.1633626688975378,569.9236363636363,568.4860606060606,567.0743434343434,1.1633626688975378,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,58181.0,58088.666666666664,58027.0,66.50480350237034,ablation_isac_no_candidate_set,singlehop,False,27341.0,27318.0,27273.0,31.822423959633664,58181.0,58088.666666666664,58027.0,112.31853281853282,109.63777784892169,107.31608133086876,2.0579637914428317,66.50480350237034,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30841.0,30770.666666666668,30686.0,64.08501298188905
