alpha_occupancy,candidate,collision_count_mean,collision_per_slot_mean,confidence_decay,delay_fraction_mean,discovered_edges_mean,discovery_rate_mean,empty_scan_ratio_mean,episode_count,episodes_per_seed,exploration_floor,generation,is_elite,isolated_node_ratio_mean,lambda2_mean,lcc_ratio_mean,mean_delay_censored_mean,objective_reward_mean,p90_delay_censored_mean,p95_delay_censored_mean,p99_delay_censored_mean,piggyback_sensing_period_multiplier,protocol,rank,reward_mean,score,seed_count,slots_per_episode,softmax_beta,true_edges_seen_mean
2.2,0,7.333333333333333,0.012222222222222221,0.995,0.6653827160493827,24.833333333333332,0.5518518518518518,0.8953157762563694,6.0,2,0.08,0,0,0.0,2.41732768358117,1.0,399.22962962962964,49.15958215203773,600.0,600.0,600.0,1.0,improved_rl_isac,13,49.15958215203773,49.15958215203773,3,600.0,3.0,45.0
0.7897138351270306,1,0.6666666666666666,0.0011111111111111111,0.9904164093134542,0.8849506172839505,10.166666666666666,0.2259259259259259,0.9309026530497814,6.0,2,0.01,0,0,0.13333333333333333,1.0599527720034413e-16,0.8666666666666667,530.9703703703703,-6.596201209143776,600.0,600.0,600.0,2.7940339774932785,improved_rl_isac,24,-6.596201209143776,-6.596201209143776,3,600.0,2.710547667394716,45.0
2.6607747322404514,2,7.333333333333333,0.012222222222222221,0.9793674521446065,0.5736975308641975,28.333333333333332,0.6296296296296297,0.8873402426873862,6.0,2,0.12459504796574178,0,1,0.0,3.4196587694891503,1.0,344.2185185185185,64.85908158629061,600.0,600.0,600.0,0.5,improved_rl_isac,5,64.85908158629061,64.85908158629061,3,600.0,4.460635057298575,45.0
2.4058194936961943,3,6.833333333333333,0.011388888888888888,0.9739324379747977,0.5721543209876543,29.166666666666668,0.648148148148148,0.9038899946649805,6.0,2,0.16234300114570716,0,0,0.0,2.700589511189371,1.0,343.2925925925926,62.84755507005465,600.0,600.0,600.0,1.1389942884473134,improved_rl_isac,7,62.84755507005465,62.84755507005465,3,600.0,3.5565135397656222,45.0
0.668742803032878,4,8.0,0.013333333333333334,0.995,0.6613333333333332,24.666666666666668,0.5481481481481482,0.8847505815124982,6.0,2,0.01,0,0,0.0,2.195486012079123,1.0,396.79999999999995,47.9905665782938,600.0,600.0,600.0,0.5,improved_rl_isac,14,47.9905665782938,47.9905665782938,3,600.0,2.2963762064520536,45.0
2.342424672044401,5,8.166666666666666,0.01361111111111111,0.995,0.600216049382716,31.166666666666668,0.6925925925925926,0.8952528751236648,6.0,2,0.17536918115707062,0,1,0.0,4.103614031364709,1.0,360.1296296296296,73.59356820990581,600.0,600.0,600.0,0.5,improved_rl_isac,2,73.59356820990581,73.59356820990581,3,600.0,3.301301421798111,45.0
3.0,6,6.666666666666667,0.011111111111111112,0.930138878321253,0.5885925925925926,27.333333333333332,0.6074074074074074,0.8906371226688498,6.0,2,0.12117796611441778,0,0,0.0,2.655811604582719,1.0,353.15555555555557,58.32705631027733,600.0,600.0,600.0,0.5,improved_rl_isac,11,58.32705631027733,58.32705631027733,3,600.0,1.9137431109450556,45.0
2.773575219364184,7,0.3333333333333333,0.0005555555555555556,0.9876739329738993,0.8260864197530864,14.666666666666666,0.3259259259259259,0.9150677542104638,6.0,2,0.022287624842437626,0,0,0.03333333333333333,0.6415778717838547,0.9666666666666667,495.65185185185186,11.705423163598882,600.0,600.0,600.0,1.7409801587272653,improved_rl_isac,20,11.705423163598882,11.705423163598882,3,600.0,1.8584286970175083,45.0
3.0,8,0.3333333333333333,0.0005555555555555556,0.9909509357379755,0.8188209876543211,15.0,0.3333333333333333,0.927375957019336,6.0,2,0.03205028738823106,0,0,0.03333333333333333,0.6551790909838735,0.9666666666666667,491.29259259259265,12.485968907125224,600.0,600.0,600.0,1.8388018428960804,improved_rl_isac,19,12.485968907125224,12.485968907125224,3,600.0,0.25,45.0
2.8924939807595402,9,9.0,0.015,0.9877951534804725,0.6058456790123455,29.166666666666668,0.648148148148148,0.8920240073973412,6.0,2,0.08179695967413714,0,1,0.0,3.0783553054561423,1.0,363.50740740740736,63.89074082377834,600.0,600.0,600.0,0.7712166302700874,improved_rl_isac,6,63.89074082377834,63.89074082377834,3,600.0,5.480425933803067,45.0
0.7605490135027604,10,0.3333333333333333,0.0005555555555555556,0.995,0.7702407407407408,19.833333333333332,0.4407407407407407,0.9242387166565208,6.0,2,0.12124102200253846,0,0,0.0,1.5383662421105566,1.0,462.14444444444445,30.1627976181631,600.0,600.0,600.0,2.213158480889387,improved_rl_isac,17,30.1627976181631,30.1627976181631,3,600.0,0.6626825864785477,45.0
2.4560846083847205,11,8.0,0.013333333333333334,0.995,0.6613333333333332,24.666666666666668,0.5481481481481482,0.8847505815124982,6.0,2,0.01,0,0,0.0,2.195486012079123,1.0,396.79999999999995,47.9905665782938,600.0,600.0,600.0,0.5,improved_rl_isac,15,47.9905665782938,47.9905665782938,3,600.0,5.426193130308986,45.0
1.7319892814121167,12,6.0,0.01,0.9836950067732865,0.6022901234567901,29.666666666666668,0.6592592592592592,0.8942408326259531,6.0,2,0.14625567060032862,0,1,0.0,3.0920219422971527,1.0,361.3740740740741,65.23251528118891,600.0,600.0,600.0,0.5,improved_rl_isac,3,65.23251528118891,65.23251528118891,3,600.0,3.2212706140398892,45.0
2.876728131770421,13,5.333333333333333,0.008888888888888889,0.9678716731723302,0.6237283950617284,28.0,0.6222222222222222,0.8904406960561508,6.0,2,0.01,0,0,0.0,3.1057145323702273,1.0,374.23703703703706,61.05235133332073,600.0,600.0,600.0,0.5,improved_rl_isac,9,61.05235133332073,61.05235133332073,3,600.0,5.487597087321037,45.0
2.1106784770602447,14,0.3333333333333333,0.0005555555555555556,0.9653439469276166,0.8176851851851852,15.666666666666666,0.34814814814814815,0.9320695668651044,6.0,2,0.19050466243139993,0,0,0.03333333333333333,0.5545962980918276,0.9666666666666667,490.6111111111111,13.4047383013052,600.0,600.0,600.0,1.584160889040716,improved_rl_isac,18,13.4047383013052,13.4047383013052,3,600.0,4.777756443821875,45.0
0.9673760208651405,15,5.333333333333333,0.008888888888888889,0.9861954076163881,0.6227407407407407,28.833333333333332,0.6407407407407407,0.8999289938429378,6.0,2,0.1742322879753537,0,0,0.0,3.087476343209113,1.0,373.64444444444445,62.652875913260885,600.0,600.0,600.0,1.0607639543357954,improved_rl_isac,8,62.652875913260885,62.652875913260885,3,600.0,2.295392290314903,45.0
2.241885512609595,16,0.6666666666666666,0.0011111111111111111,0.995,0.8509012345679013,13.0,0.2888888888888889,0.9413615440696596,6.0,2,0.18976443590665187,0,0,0.06666666666666667,0.39461536357675087,0.9333333333333332,510.54074074074083,4.485475566120187,600.0,600.0,600.0,2.808401826307853,improved_rl_isac,22,4.485475566120187,4.485475566120187,3,600.0,3.4417671660172795,45.0
2.5596727996511888,17,8.0,0.013333333333333334,0.995,0.6613333333333332,24.666666666666668,0.5481481481481482,0.8847505815124982,6.0,2,0.01,0,0,0.0,2.195486012079123,1.0,396.79999999999995,47.9905665782938,600.0,600.0,600.0,0.7242193033522278,improved_rl_isac,16,47.9905665782938,47.9905665782938,3,600.0,2.160116884068513,45.0
3.0,18,6.666666666666667,0.011111111111111112,0.995,0.6264938271604937,27.166666666666668,0.6037037037037037,0.892181097728996,6.0,2,0.08629026677019326,0,0,0.0,2.9473142476512653,1.0,375.89629629629627,58.246282617009754,600.0,600.0,600.0,0.5,improved_rl_isac,12,58.246282617009754,58.246282617009754,3,600.0,1.2166611885925476,45.0
2.4519650179309407,19,7.333333333333333,0.012222222222222221,0.9394198806909444,0.5840308641975308,30.166666666666668,0.6703703703703704,0.8882309585796789,6.0,2,0.07409616669151897,0,1,0.0,2.7088494205081273,1.0,350.4185185185185,65.05129459761373,600.0,600.0,600.0,0.5,improved_rl_isac,4,65.05129459761373,65.05129459761373,3,600.0,3.390901402724847,45.0
1.6857892442011753,20,9.5,0.015833333333333335,0.995,0.5411111111111111,33.333333333333336,0.7407407407407406,0.8973119600067396,6.0,2,0.26461337550781294,0,1,0.0,4.399905936788473,1.0,324.6666666666667,81.57736455788164,600.0,600.0,600.0,1.4404080837337307,improved_rl_isac,1,81.57736455788164,81.57736455788164,3,600.0,3.228131022391358,45.0
1.9049514011280313,21,0.6666666666666666,0.0011111111111111111,0.995,0.8070123456790123,15.333333333333334,0.34074074074074073,0.9191928069730101,6.0,2,0.01,0,0,0.06666666666666667,0.2653945728075405,0.9,484.20740740740735,10.11793153939231,600.0,600.0,600.0,2.4762406152291745,improved_rl_isac,21,10.11793153939231,10.11793153939231,3,600.0,2.081554482394355,45.0
2.1589280224098744,22,8.333333333333334,0.01388888888888889,0.995,0.5978395061728395,28.0,0.6222222222222221,0.8999956862059674,6.0,2,0.1499629804154672,0,0,0.0,2.999197621363248,1.0,358.7037037037037,61.00533364195614,600.0,600.0,600.0,0.976747239771658,improved_rl_isac,10,61.00533364195614,61.00533364195614,3,600.0,0.32413331801015277,45.0
1.603571821772293,23,1.3333333333333333,0.0022222222222222222,0.995,0.868253086419753,11.833333333333334,0.26296296296296295,0.9350666712506422,6.0,2,0.10242860627451214,0,0,0.05000000000000001,0.10134216776985101,0.8833333333333333,520.9518518518518,-0.8236966602376584,600.0,600.0,600.0,2.6233461640640705,improved_rl_isac,23,-0.8236966602376584,-0.8236966602376584,3,600.0,0.25,45.0
2.7535121394697715,0,0.6666666666666666,0.0011111111111111111,0.995,0.8070123456790123,15.333333333333334,0.34074074074074073,0.9191928069730101,6.0,2,0.01,1,0,0.06666666666666667,0.2653945728075405,0.9,484.20740740740735,10.11793153939231,600.0,600.0,600.0,1.9592530479583967,improved_rl_isac,24,10.11793153939231,10.11793153939231,3,600.0,0.5579756909403233,45.0
2.7265792389110253,1,6.333333333333333,0.010555555555555556,0.9908483237060912,0.586037037037037,30.833333333333332,0.6851851851851851,0.8970885928625014,6.0,2,0.20045345418035412,1,1,0.0,3.829904019506768,1.0,351.6222222222222,71.93404453658009,600.0,600.0,600.0,1.000899748524993,improved_rl_isac,1,71.93404453658009,71.93404453658009,3,600.0,2.5500950067416577,45.0
1.7841243240861313,2,10.0,0.016666666666666666,0.9590519792341976,0.614925925925926,30.0,0.6666666666666666,0.8832235137829265,6.0,2,0.06343581858654156,1,1,0.0,3.7382609032347562,1.0,368.9555555555556,68.91238979607078,600.0,600.0,600.0,0.5,improved_rl_isac,3,68.91238979607078,68.91238979607078,3,600.0,3.908596426594852,45.0
2.6300048541849836,3,7.166666666666667,0.011944444444444445,0.9206380863916724,0.626320987654321,29.666666666666668,0.6592592592592593,0.8956123551595123,6.0,2,0.1285741231930022,1,0,0.0,3.05997214770184,1.0,375.7925925925926,64.28502104272636,600.0,600.0,600.0,1.0885358807429188,improved_rl_isac,11,64.28502104272636,64.28502104272636,3,600.0,4.153333502775821,45.0
1.4915886010483328,4,6.333333333333333,0.010555555555555556,0.9930845266200184,0.5879753086419753,28.0,0.6222222222222223,0.888741095717943,6.0,2,0.1437911953329442,1,0,0.0,2.156495667367956,1.0,352.7851851851852,57.37950827433278,600.0,600.0,600.0,0.5,improved_rl_isac,16,57.37950827433278,57.37950827433278,3,600.0,3.635879939411711,45.0
2.251986488655553,5,4.0,0.006666666666666667,0.992234014627932,0.6329197530864197,26.5,0.5888888888888889,0.8895778543848344,6.0,2,0.08005732807714058,1,0,0.0,2.6945536286488916,1.0,379.7518518518518,55.44917401851072,600.0,600.0,600.0,0.7147548397891408,improved_rl_isac,19,55.44917401851072,55.44917401851072,3,600.0,1.9615840032335268,45.0
2.1067949223012397,6,4.666666666666667,0.007777777777777778,0.995,0.6157160493827162,27.0,0.6,0.8850525341707746,6.0,2,0.03758616907701795,1,0,0.0,2.396047274893697,1.0,369.4296296296297,55.65214865401596,600.0,600.0,600.0,1.070784069734004,improved_rl_isac,18,55.65214865401596,55.65214865401596,3,600.0,1.48820001963046,45.0
1.8702745895827575,7,1.3333333333333333,0.0022222222222222222,0.9479669335395544,0.7634320987654322,18.333333333333332,0.40740740740740744,0.9281764328020774,6.0,2,0.2031488780750512,1,0,0.0,1.0564634359631344,1.0,458.0592592592593,24.512121857107466,600.0,600.0,600.0,1.7495183341910696,improved_rl_isac,23,24.512121857107466,24.512121857107466,3,600.0,2.9474982902347695,45.0
1.8055101266559188,8,6.0,0.01,0.995,0.6024197530864198,30.0,0.6666666666666666,0.889954421985549,6.0,2,0.09434636594934745,1,1,0.0,3.6001234508570135,1.0,361.45185185185187,68.59560288864814,600.0,600.0,600.0,0.5445361083958782,improved_rl_isac,4,68.59560288864814,68.59560288864814,3,600.0,3.870114500654684,45.0
1.8878772822186227,9,7.0,0.011666666666666667,0.9812559534808188,0.6132037037037038,28.5,0.6333333333333333,0.8895239312021159,6.0,2,0.08706825225646317,1,0,0.0,3.1146161082372523,1.0,367.9222222222223,62.48649080603282,600.0,600.0,600.0,1.2119042371314057,improved_rl_isac,12,62.48649080603282,62.48649080603282,3,600.0,6.64484195024188,45.0
1.460227371395141,10,7.0,0.011666666666666667,0.9918062277740836,0.5846172839506173,30.166666666666668,0.6703703703703704,0.8844658520938083,6.0,2,0.07529566003436929,1,1,0.0,3.1685144107347014,1.0,350.77037037037036,67.41844019698253,600.0,600.0,600.0,0.5,improved_rl_isac,5,67.41844019698253,67.41844019698253,3,600.0,3.0749568561489964,45.0
